seed	case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
43	no_gamma	1	0.01	400	1853.4303665161133	4.633575916290283	2	0.005	100	4.6389994621276855	4.112461242675781	3	0.03	True
43	no_gamma	2	0.01	400	1809.9100341796875	4.524775085449218	9	0.0225	100	4.6056318283081055	4.079093627929687	5	0.05	True
43	no_gamma	3	0.01	400	1762.2361450195312	4.405590362548828	23	0.0575	100	4.572789192199707	4.046251831054687	3	0.03	True
43	no_gamma	4	0.01	400	1719.2213516235352	4.298053379058838	48	0.12	100	4.53986120223999	4.013323364257812	5	0.05	True
43	no_gamma	5	0.01	400	1671.5452041625977	4.178863010406494	78	0.195	100	4.506302833557129	3.9797650146484376	8	0.08	True
43	no_gamma	6	0.01	400	1631.0812759399414	4.077703189849854	98	0.245	100	4.473845481872559	3.947307434082031	8	0.08	True
43	no_gamma	7	0.01	400	1586.5551300048828	3.966387825012207	119	0.2975	100	4.441319465637207	3.9147817993164065	12	0.12	True
43	no_gamma	8	0.01	400	1545.5077896118164	3.863769474029541	136	0.34	100	4.412156105041504	3.885617980957031	12	0.12	True
43	no_gamma	9	0.01	400	1509.8974952697754	3.7747437381744384	146	0.365	100	4.382435321807861	3.8558975219726563	13	0.13	True
43	no_gamma	10	0.01	400	1473.5543899536133	3.683885974884033	155	0.3875	100	4.3510518074035645	3.8245135498046876	12	0.12	True
43	no_gamma	11	0.01	400	1426.4234580993652	3.566058645248413	176	0.44	100	4.323725700378418	3.7971875	14	0.14	True
43	no_gamma	12	0.01	400	1387.012222290039	3.4675305557250975	179	0.4475	100	4.294746398925781	3.7682086181640626	14	0.14	True
43	no_gamma	13	0.01	400	1347.8772430419922	3.3696931076049803	186	0.465	100	4.263943195343018	3.73740478515625	15	0.15	True
43	no_gamma	14	0.01	400	1314.4588317871094	3.2861470794677734	186	0.465	100	4.234371662139893	3.7078338623046876	15	0.15	True
43	no_gamma	15	0.01	400	1276.8129577636719	3.1920323944091797	202	0.505	100	4.203444004058838	3.6769058227539064	15	0.15	True
43	no_gamma	16	0.01	400	1237.2969856262207	3.093242464065552	218	0.545	100	4.1801581382751465	3.653620300292969	15	0.15	True
43	no_gamma	17	0.01	400	1207.1355438232422	3.0178388595581054	219	0.5475	100	4.156329154968262	3.629791259765625	15	0.15	True
43	no_gamma	18	0.01	400	1172.502586364746	2.9312564659118654	230	0.575	100	4.127553939819336	3.601015930175781	15	0.15	True
43	no_gamma	19	0.01	400	1135.0445098876953	2.8376112747192384	239	0.5975	100	4.106197357177734	3.579659423828125	15	0.15	True
43	no_gamma	20	0.01	400	1097.1028366088867	2.7427570915222166	251	0.6275	100	4.081542491912842	3.5550042724609376	14	0.14	True
43	no_gamma	21	0.01	400	1066.9671173095703	2.6674177932739256	258	0.645	100	4.05397891998291	3.527440490722656	15	0.15	True
43	no_gamma	22	0.01	400	1038.631332397461	2.5965783309936525	259	0.6475	100	4.030954360961914	3.50441650390625	15	0.15	True
43	no_gamma	23	0.01	400	1010.1313247680664	2.525328311920166	264	0.66	100	4.0089430809021	3.48240478515625	17	0.17	True
43	no_gamma	24	0.01	400	979.2968101501465	2.4482420253753663	276	0.69	100	3.9870333671569824	3.4604953002929686	17	0.17	True
43	no_gamma	25	0.01	400	951.1295394897461	2.3778238487243653	286	0.715	100	3.958217144012451	3.4316790771484373	18	0.18	True
43	no_gamma	26	0.01	400	921.0820617675781	2.302705154418945	285	0.7125	100	3.9350945949554443	3.4085565185546876	18	0.18	True
43	no_gamma	27	0.01	400	898.2923393249512	2.245730848312378	292	0.73	100	3.920374631881714	3.393836669921875	18	0.18	True
43	no_gamma	28	0.01	400	876.6318283081055	2.191579570770264	300	0.75	100	3.8957221508026123	3.3691842651367185	18	0.18	True
43	no_gamma	29	0.01	400	846.5837860107422	2.1164594650268556	306	0.765	100	3.882146120071411	3.3556082153320315	18	0.18	True
43	no_gamma	30	0.01	400	823.564395904541	2.0589109897613525	308	0.77	100	3.8640990257263184	3.33756103515625	19	0.19	True
43	no_gamma	31	0.01	400	802.4259872436523	2.006064968109131	311	0.7775	100	3.8449625968933105	3.3184246826171875	20	0.2	True
43	no_gamma	32	0.01	400	775.1360378265381	1.9378400945663452	324	0.81	100	3.823072671890259	3.2965347290039064	20	0.2	True
43	no_gamma	33	0.01	400	753.0946159362793	1.8827365398406983	330	0.825	100	3.808358669281006	3.2818206787109374	20	0.2	True
43	no_gamma	34	0.01	400	737.828052520752	1.8445701313018799	329	0.8225	100	3.7873857021331787	3.2608477783203127	20	0.2	True
43	no_gamma	35	0.01	400	715.9492111206055	1.7898730278015136	337	0.8425	100	3.7673192024230957	3.24078125	21	0.21	True
43	no_gamma	36	0.01	400	699.732250213623	1.7493306255340577	339	0.8475	100	3.755850076675415	3.2293121337890627	22	0.22	True
43	no_gamma	37	0.01	400	681.0401401519775	1.7026003503799438	343	0.8575	100	3.7523603439331055	3.2258224487304688	21	0.21	True
43	no_gamma	38	0.01	400	659.2132377624512	1.6480330944061279	353	0.8825	100	3.7231686115264893	3.196630554199219	23	0.23	True
43	no_gamma	39	0.01	400	645.9157695770264	1.614789423942566	350	0.875	100	3.70886492729187	3.1823269653320314	23	0.23	True
43	no_gamma	40	0.01	400	628.4756736755371	1.5711891841888428	355	0.8875	100	3.697937488555908	3.1713995361328124	23	0.23	True
43	no_gamma	41	0.01	400	610.7927627563477	1.5269819068908692	360	0.9	100	3.689142942428589	3.1626052856445312	23	0.23	True
43	no_gamma	42	0.01	400	593.3247375488281	1.4833118438720703	362	0.905	100	3.673579692840576	3.1470416259765623	22	0.22	True
43	no_gamma	43	0.01	400	581.9417572021484	1.454854393005371	360	0.9	100	3.669884443283081	3.1433465576171873	22	0.22	True
43	no_gamma	44	0.01	400	564.3427124023438	1.4108567810058594	361	0.9025	100	3.6543612480163574	3.1278228759765625	22	0.22	True
43	no_gamma	45	0.01	400	555.1355743408203	1.3878389358520509	369	0.9225	100	3.642092227935791	3.11555419921875	23	0.23	True
43	no_gamma	46	0.01	400	533.7588005065918	1.3343970012664794	365	0.9125	100	3.644723415374756	3.1181854248046874	22	0.22	False
43	no_gamma	47	0.01	400	527.4729309082031	1.3186823272705077	366	0.915	100	3.624941110610962	3.0984027099609377	24	0.24	True
43	no_gamma	48	0.01	400	516.9844665527344	1.292461166381836	374	0.935	100	3.6052393913269043	3.078701171875	24	0.24	True
43	no_gamma	49	0.01	400	504.96866607666016	1.2624216651916504	377	0.9425	100	3.5947606563568115	3.06822265625	24	0.24	True
43	no_gamma	50	0.01	400	494.2980079650879	1.2357450199127198	376	0.94	100	3.594379425048828	3.0678411865234376	24	0.24	True
43	no_gamma	51	0.01	400	476.76726150512695	1.1919181537628174	373	0.9325	100	3.583977699279785	3.057439270019531	23	0.23	True
43	no_gamma	52	0.01	400	474.0957088470459	1.1852392721176148	377	0.9425	100	3.572286367416382	3.045748291015625	24	0.24	True
43	no_gamma	53	0.01	400	460.95175552368164	1.1523793888092042	377	0.9425	100	3.5652129650115967	3.0386749267578126	25	0.25	True
43	no_gamma	54	0.01	400	459.60424041748047	1.1490106010437011	374	0.935	100	3.5535457134246826	3.027007751464844	25	0.25	True
43	no_gamma	55	0.01	400	442.46096420288086	1.1061524105072023	381	0.9525	100	3.53947114944458	3.0129327392578125	25	0.25	True
43	no_gamma	56	0.01	400	442.0838394165039	1.1052095985412598	378	0.945	100	3.528914213180542	3.0023760986328125	25	0.25	True
43	no_gamma	57	0.01	400	434.37780475616455	1.0859445118904114	377	0.9425	100	3.5332493782043457	3.00671142578125	25	0.25	False
43	no_gamma	58	0.01	400	424.81336784362793	1.0620334196090697	381	0.9525	100	3.5286073684692383	3.002069091796875	26	0.26	True
43	no_gamma	59	0.01	400	416.3275947570801	1.0408189868927002	377	0.9425	100	3.531320810317993	3.00478271484375	25	0.25	False
43	no_gamma	60	0.01	400	408.5861186981201	1.0214652967453004	382	0.955	100	3.526909112930298	3.00037109375	25	0.25	True
43	no_gamma	61	0.001	400	400.9283561706543	1.0023208904266356	382	0.955	100	3.5239830017089844	2.997445068359375	25	0.25	True
43	no_gamma	62	0.001	400	398.8141384124756	0.9970353460311889	381	0.9525	100	3.5239980220794678	2.9974603271484375	24	0.24	False
43	no_gamma	63	0.001	400	402.9072914123535	1.0072682285308838	384	0.96	100	3.5235748291015625	2.9970364379882812	24	0.24	True
43	no_gamma	64	0.001	400	399.0093803405762	0.9975234508514405	383	0.9575	100	3.5249156951904297	2.998377685546875	24	0.24	False
43	no_gamma	65	0.001	400	399.10298919677734	0.9977574729919434	380	0.95	100	3.5227489471435547	2.996210632324219	24	0.24	True
