protection	configuration	head_mode	training_mode	epoch	lr	train_loss	train_accuracy	accuracy	fidelity	kl_divergence_victim_to_surrogate
full_protection	replace_frozen	replace	frozen	25	0.01	2.867783285140991	0.37	0.1347	0.1404	3.0084697250366212
full_protection	replace_frozen	replace	frozen	26	0.01	2.8280769138336184	0.378	0.1348	0.1412	3.003388389968872
full_protection	replace_frozen	replace	frozen	27	0.01	2.7858807582855225	0.37	0.1363	0.1425	2.9913814178466795
full_protection	replace_frozen	replace	frozen	28	0.01	2.71263041305542	0.428	0.1387	0.1441	2.981910402679443
full_protection	replace_frozen	replace	frozen	29	0.01	2.721080068588257	0.414	0.1388	0.1457	2.9745516220092774
full_protection	replace_frozen	replace	frozen	30	0.01	2.7032360877990724	0.39	0.1395	0.1467	2.97001203994751
full_protection	replace_frozen	replace	frozen	31	0.001	2.665299530029297	0.42	0.1397	0.1468	2.968829232406616
full_protection	replace_frozen	replace	frozen	32	0.001	2.614471097946167	0.41	0.1397	0.1469	2.967971378326416
full_protection	replace_frozen	replace	frozen	33	0.001	2.6301992168426516	0.432	0.1399	0.1473	2.9666923210144045
full_protection	replace_frozen	replace	frozen	34	0.001	2.6669242458343505	0.41	0.1401	0.1476	2.9656874122619628
full_protection	replace_frozen	replace	frozen	35	0.001	2.6163283195495604	0.416	0.1403	0.1478	2.9652443130493165
full_protection	replace_frozen	replace	frozen	36	0.001	2.620633354187012	0.428	0.1407	0.148	2.964687895965576
full_protection	replace_frozen	replace	frozen	37	0.001	2.6449454689025877	0.42	0.1408	0.1484	2.9637902130126954
full_protection	replace_frozen	replace	frozen	38	0.001	2.6146667594909667	0.438	0.1409	0.148	2.963145029449463
full_protection	replace_frozen	replace	frozen	39	0.001	2.6172714557647705	0.45	0.141	0.1485	2.9622615867614748
full_protection	replace_frozen	replace	frozen	40	0.001	2.6293516159057617	0.422	0.1414	0.1487	2.961720789337158
full_protection	replace_frozen	replace	frozen	41	0.001	2.6313095245361326	0.406	0.1414	0.1487	2.9607879020690917
full_protection	replace_frozen	replace	frozen	42	0.001	2.6207678852081298	0.416	0.1412	0.1485	2.960423515701294
full_protection	replace_frozen	replace	frozen	43	0.001	2.604879034042358	0.44	0.1416	0.1487	2.9597150939941406
full_protection	replace_frozen	replace	frozen	44	0.001	2.6017268924713135	0.436	0.142	0.149	2.9585844314575196
full_protection	replace_frozen	replace	frozen	45	0.001	2.641653038024902	0.41	0.1413	0.1486	2.9582183334350587
full_protection	replace_frozen	replace	frozen	46	0.001	2.596054906845093	0.432	0.1419	0.149	2.95752315826416
full_protection	replace_frozen	replace	frozen	47	0.001	2.5847274646759035	0.41	0.1425	0.1493	2.956342926025391
full_protection	replace_frozen	replace	frozen	48	0.001	2.6020188846588135	0.446	0.1422	0.1492	2.9559569427490233
full_protection	replace_frozen	replace	frozen	49	0.001	2.5965518493652344	0.422	0.1423	0.1491	2.954917989349365
full_protection	replace_frozen	replace	frozen	50	0.001	2.59286185836792	0.436	0.142	0.149	2.954386728668213
full_protection	replace_frozen	replace	frozen	51	0.001	2.5829839725494383	0.428	0.1429	0.1497	2.9536408184051512
full_protection	replace_frozen	replace	frozen	52	0.001	2.5673622455596923	0.442	0.143	0.1498	2.952847749328613
full_protection	replace_frozen	replace	frozen	53	0.001	2.5881270160675047	0.434	0.1435	0.1504	2.9521477233886717
full_protection	replace_frozen	replace	frozen	54	0.001	2.5704424953460694	0.438	0.1436	0.1509	2.951132010650635
full_protection	replace_frozen	replace	frozen	55	0.001	2.594586416244507	0.422	0.1439	0.1513	2.9503055297851564
full_protection	replace_frozen	replace	frozen	56	0.001	2.5876737937927246	0.458	0.1437	0.1507	2.949599296951294
full_protection	replace_frozen	replace	frozen	57	0.001	2.5537395515441896	0.446	0.1439	0.1509	2.9492673183441163
full_protection	replace_frozen	replace	frozen	58	0.001	2.554901580810547	0.432	0.1442	0.1514	2.948215711593628
full_protection	replace_frozen	replace	frozen	59	0.001	2.5588378047943117	0.432	0.1445	0.1518	2.947920450592041
full_protection	replace_frozen	replace	frozen	60	0.001	2.572459066390991	0.432	0.1448	0.152	2.9470791355133055
full_protection	replace_frozen	replace	frozen	61	0.0001	2.5554563694000243	0.448	0.1448	0.1521	2.946989641189575
full_protection	replace_frozen	replace	frozen	62	0.0001	2.547364147186279	0.442	0.1449	0.152	2.946937284088135
full_protection	replace_frozen	replace	frozen	63	0.0001	2.5673536071777345	0.444	0.1447	0.1519	2.9468701614379884
full_protection	replace_frozen	replace	frozen	64	0.0001	2.553111095428467	0.452	0.1449	0.152	2.9467983558654787
full_protection	replace_frozen	replace	frozen	65	0.0001	2.5421689434051515	0.446	0.1448	0.152	2.9467349460601806
full_protection	replace_frozen	replace	frozen	66	0.0001	2.5958459548950197	0.442	0.1448	0.1521	2.9466850757598877
full_protection	replace_frozen	replace	frozen	67	0.0001	2.553346363067627	0.434	0.145	0.1521	2.9465730438232423
full_protection	replace_frozen	replace	frozen	68	0.0001	2.5322801780700686	0.426	0.1449	0.1521	2.9465354000091555
full_protection	replace_frozen	replace	frozen	69	0.0001	2.58225563621521	0.43	0.1451	0.1522	2.94642061920166
full_protection	replace_frozen	replace	frozen	70	0.0001	2.597896146774292	0.432	0.1451	0.1521	2.9463915699005128
full_protection	replace_frozen	replace	frozen	71	0.0001	2.55794366645813	0.43	0.1451	0.1521	2.946345742034912
