product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	feature_count	normalizer_name	normalizer_value	raw_cross_l1	raw_natural_l1	cross_residual	natural_residual	product_score
12	28	79	bn_gamma	layer3.1.bn1	layer3.1.bn1.weight	256	1024	sqrt_feature_count_x_parameter_count	512.0	307.29592028808594	272.28120272827147	0.6001873443126678	0.5317992240786552	0.31917916400730545
13	30	85	bn_gamma	layer3.1.bn2	layer3.1.bn2.weight	256	1024	sqrt_feature_count_x_parameter_count	512.0	267.96183557128904	230.60847106933593	0.5233629601001739	0.45040717005729675	0.23572642977152924
14	24	67	bn_gamma	layer3.0.bn2	layer3.0.bn2.weight	256	1024	sqrt_feature_count_x_parameter_count	512.0	126.26492579650879	452.1265453491211	0.24661118319630623	0.8830596588850022	0.21777238731055695
15	36	103	bn_gamma	layer4.0.downsample.1	layer4.0.downsample.1.weight	512	512	sqrt_feature_count_x_parameter_count	512.0	137.00189346313476	255.62270385742187	0.2675818231701851	0.4992630934715271	0.13359372879269774
16	22	61	bn_gamma	layer3.0.bn1	layer3.0.bn1.weight	256	1024	sqrt_feature_count_x_parameter_count	512.0	77.45914666748047	431.7735327148437	0.1512873958349228	0.8433076810836792	0.1275818229587374
17	7	18	conv_weight	layer1.1.conv1	layer1.1.conv1.weight	36864	4096	sqrt_feature_count_x_parameter_count	12288.0	3234.180263671875	5098.517309570312	0.2631982636451721	0.41491840084393816	0.10920580265655605
18	3	6	conv_weight	layer1.0.conv1	layer1.0.conv1.weight	36864	4096	sqrt_feature_count_x_parameter_count	12288.0	3346.094801513672	4494.687395507813	0.2723058920502663	0.3657785966396332	0.09960366705084985
19	26	73	bn_gamma	layer3.0.downsample.1	layer3.0.downsample.1.weight	256	1024	sqrt_feature_count_x_parameter_count	512.0	141.7470146484375	170.0681450805664	0.2768496379852295	0.33216434586048127	0.0919595789030748
20	34	97	bn_gamma	layer4.0.bn2	layer4.0.bn2.weight	512	512	sqrt_feature_count_x_parameter_count	512.0	67.20599855804443	307.11105462646486	0.13126171593368052	0.5998262785673142	0.07873422658685951
21	38	109	bn_gamma	layer4.1.bn1	layer4.1.bn1.weight	512	512	sqrt_feature_count_x_parameter_count	512.0	96.24334988403321	193.29733685302733	0.18797529274225236	0.377533861041069	0.07096703804930778
22	15	42	conv_weight	layer2.0.downsample.0	layer2.0.downsample.0.weight	8192	2048	sqrt_feature_count_x_parameter_count	4096.0	836.696894897461	1070.7772935791015	0.20427170285582544	0.26142023769021033	0.0534007571139539
23	32	91	bn_gamma	layer4.0.bn1	layer4.0.bn1.weight	512	512	sqrt_feature_count_x_parameter_count	512.0	50.19943980407715	188.70616372680664	0.09804578086733819	0.3685667260289192	0.036136412455223685
24	11	30	conv_weight	layer2.0.conv1	layer2.0.conv1.weight	73728	2048	sqrt_feature_count_x_parameter_count	12288.0	1853.449960205078	2401.8024338378905	0.15083414389689762	0.19545918244123459	0.029481918450311142
25	5	12	conv_weight	layer1.0.conv2	layer1.0.conv2.weight	36864	4096	sqrt_feature_count_x_parameter_count	12288.0	1190.6853048095704	1474.4888037109374	0.09689821816484134	0.11999420603116352	0.011627224754524604
26	9	24	conv_weight	layer1.1.conv2	layer1.1.conv2.weight	36864	4096	sqrt_feature_count_x_parameter_count	12288.0	1055.389337890625	1246.0903572998047	0.08588780419031779	0.10140709287921588	0.008709632536719462
27	17	48	conv_weight	layer2.1.conv1	layer2.1.conv1.weight	147456	2048	sqrt_feature_count_x_parameter_count	17377.85625444059	1008.3013720703125	1409.9578081054688	0.05802219544845525	0.08113531309393701	0.004707648994108023
28	13	36	conv_weight	layer2.0.conv2	layer2.0.conv2.weight	147456	2048	sqrt_feature_count_x_parameter_count	17377.85625444059	708.1974619140625	883.5646138916015	0.04075286684070112	0.05084428142083538	0.002072050230354438
