artifact_id	plan_id	run_id	attack_protocol	dataset	victim_model	defense	protected_layer_count	source_ratio	training_mode	label_mode	query_transform	query_budget	query_train_size	query_validation_size	query_split_seed	query_sampler_seed	lr_step	protected_unit_count	protection_mask_sha256	protected_scalar_count	protected_param_count	total_param_count	protected_param_ratio	head_mode	primary_checkpoint	primary_epoch	selection_metric	validation_loss	validation_match	eval_count	victim_correct	surrogate_correct	agreement_count	victim_acc	surrogate_acc	fidelity	posterior_kl_sum	posterior_kl	metrics_path
large_02	large_02	0d59cfbb63e5	soft_query_validation_best_v1	c100	resnet18	large_weight		0.1	finetune	soft	test	500	400	100	42	42	60	101	aba39a0958e8699f0d1d9942d0cfdf54f5f124c80a95c676fd3d671e4c73cb31	1122291	1127072	11227812	0.10038215816224924	mixed	best.pth	87	validation_soft_cross_entropy	2.8171324729919434	0.27	10000	6182	2902	3147	0.6182	0.2902	0.3147	19404.703727722168	1.9404703727722168	results/MS/resnet18/c100/large_02/metrics.json
large_03	large_03	7a1b65c65a72	soft_query_validation_best_v1	c100	resnet18	large_weight		0.3	finetune	soft	test	500	400	100	42	42	60	101	451bf2b4c78c092b9801a4efe6feb61b4577f011a96c201af6f751605b4e188a	3366873	3371664	11227812	0.30029572992493997	mixed	best.pth	96	validation_soft_cross_entropy	3.2012150287628174	0.28	10000	6182	2251	2419	0.6182	0.2251	0.2419	24744.8032913208	2.47448032913208	results/MS/resnet18/c100/large_03/metrics.json
large_04	large_04	07ed5c52661f	soft_query_validation_best_v1	c100	resnet18	large_weight		0.5	finetune	soft	test	500	400	100	42	42	60	101	6a2f673feb1a3931c65de65a4b897a8f0e0b1f6caff7527bf9566176ba45b678	5611456	5616247	11227812	0.5002085001066994	mixed	best.pth	93	validation_soft_cross_entropy	3.338627338409424	0.21	10000	6182	1888	1976	0.6182	0.1888	0.1976	27166.753158569336	2.7166753158569334	results/MS/resnet18/c100/large_04/metrics.json
large_05	large_05	e117d87c4d55	soft_query_validation_best_v1	c100	resnet18	large_weight		0.7	finetune	soft	test	500	400	100	42	42	60	101	0159c22a0463820cb54f1cb85cf7d58bd9089c0262668c161450eab3bb3ec8fa	7856038	7860829	11227812	0.7001211812239108	mixed	best.pth	93	validation_soft_cross_entropy	3.653616189956665	0.19	10000	6182	1663	1725	0.6182	0.1663	0.1725	28999.453468322754	2.8999453468322756	results/MS/resnet18/c100/large_05/metrics.json
large_06	large_06	a87e6d8bcddc	soft_query_validation_best_v1	c100	resnet18	large_weight		0.8	finetune	soft	test	500	400	100	42	42	60	101	4d85833e0a4a03c6bd9454a667c7fefe4dee69fc49f9dd731859d7b09e86b492	8978329	8983121	11227812	0.8000776108470644	mixed	best.pth	64	validation_soft_cross_entropy	3.8089213371276855	0.15	10000	6182	1545	1637	0.6182	0.1545	0.1637	29742.00140762329	2.974200140762329	results/MS/resnet18/c100/large_06/metrics.json
large_07	large_07	42ca9c996193	soft_query_validation_best_v1	c100	resnet18	large_weight		0.9	finetune	soft	test	500	400	100	42	42	60	101	e11592428f5e96bab0b19bca40c6e9261860419438d5d81087bf4de9df25270a	10100620	10105412	11227812	0.9000339514056701	mixed	best.pth	92	validation_soft_cross_entropy	4.02768611907959	0.16	10000	6182	1446	1525	0.6182	0.1446	0.1525	30195.84046936035	3.019584046936035	results/MS/resnet18/c100/large_07/metrics.json
large_08	large_08	620feb555b36	soft_query_validation_best_v1	c100	resnet18	large_weight		0.95	finetune	soft	test	500	400	100	42	42	60	101	1d3101d807b57e20b788c495cce71419ea9bce2dbde7bb367eab2848cf7b4e03	10661766	10666558	11227812	0.9500121662172469	mixed	best.pth	44	validation_soft_cross_entropy	3.9772520065307617	0.15	10000	6182	1356	1424	0.6182	0.1356	0.1424	30950.487007141113	3.0950487007141114	results/MS/resnet18/c100/large_08/metrics.json
middle_02	middle_02	13d2868b2961	soft_query_validation_best_v1	c100	resnet18	middle	2	None	finetune	soft	test	500	400	100	42	42	60	18	0e8a78ea498614bc46a49a1bf58d201c962fdc1f74005c955c1acfa7dcfa1da1		476416	11227812	0.04243177566564171	exposed	best.pth	62	validation_soft_cross_entropy	1.6368083953857422	0.54	10000	6182	4289	4995	0.6182	0.4289	0.4995	11262.996816635132	1.1262996816635131	results/MS/resnet18/c100/middle_02/metrics.json
middle_04	middle_04	761234aaff44	soft_query_validation_best_v1	c100	resnet18	middle	4	None	finetune	soft	test	500	400	100	42	42	60	30	53e2c9bbe56390bbd0a541827b2c3d38de02e86769405533ea262a679ebb291a		1214464	11227812	0.10816568713476855	exposed	best.pth	65	validation_soft_cross_entropy	2.238858699798584	0.44	10000	6182	3332	3668	0.6182	0.3332	0.3668	16937.437412261963	1.6937437412261962	results/MS/resnet18/c100/middle_04/metrics.json
middle_06	middle_06	28798bcddeda	soft_query_validation_best_v1	c100	resnet18	middle	6	None	finetune	soft	test	500	400	100	42	42	60	42	5363e64d2df066c3e7b5a8fe1b295c904b156b80fa1bda014da24028aa87fa54		1952512	11227812	0.1738995986038954	exposed	best.pth	48	validation_soft_cross_entropy	2.6079983711242676	0.37	10000	6182	2941	3291	0.6182	0.2941	0.3291	19047.6163482666	1.90476163482666	results/MS/resnet18/c100/middle_06/metrics.json
