epoch	learning_rate	temperature	soft_protected_param_count	binary_penalty	query_loss	query_match	holdout_loss	holdout_match
1	0.01	2.0	846924.125	0.0700274184346199	4.634081089019776	0.008	4.614222049713135	0.015625
2	0.01	1.9403866524532982	846924.1875	0.07001443952322006	4.476534160614014	0.044	4.5026386976242065	0.02734375
3	0.01	1.8825501805094584	846924.125	0.06999688595533371	4.319541542053223	0.096	4.441068351268768	0.05859375
4	0.01	1.8264376214170501	846924.0	0.06996975839138031	4.162713966369629	0.184	4.343355178833008	0.080078125
5	0.01	1.7719975910680972	846923.9375	0.06991622596979141	4.000228582382202	0.276	4.258552074432373	0.1171875
6	0.01	1.7191802369439666	846924.0	0.06981571763753891	3.82592338180542	0.346	4.161251485347748	0.18359375
7	0.01	1.6679371924637858	846924.0	0.06964568048715591	3.63579243850708	0.39	4.036665439605713	0.189453125
8	0.01	1.618221532693579	846924.0625	0.06940102577209473	3.4303551540374757	0.434	3.888534814119339	0.23046875
9	0.01	1.5699877313755695	846924.0	0.06909240782260895	3.200909074783325	0.492	3.8239694833755493	0.212890625
10	0.01	1.5231916192382946	846924.0625	0.06874579936265945	2.9547894954681397	0.516	3.686237096786499	0.25390625
11	0.01	1.4777903435493567	846923.9375	0.06837133318185806	2.683669895172119	0.554	3.4720754623413086	0.26953125
12	0.01	1.433742328873773	846924.0	0.06798646599054337	2.396299997329712	0.61	3.2780486047267914	0.326171875
13	0.01	1.391007239001988	846924.0	0.0676150992512703	2.105792720794678	0.658	3.231351613998413	0.322265625
14	0.01	1.3495459400126861	846924.0625	0.06725267320871353	1.8202694282531737	0.746	2.91739821434021	0.369140625
15	0.01	1.309320464436578	846924.0	0.06690092384815216	1.5677199058532716	0.8	2.7370747327804565	0.41015625
16	0.01	1.2702939764883445	846924.125	0.06655013561248779	1.351310103416443	0.83	2.604272723197937	0.431640625
17	0.01	1.2324307383349038	846924.0	0.06619700789451599	1.1873752899169923	0.85	2.6395379304885864	0.4140625
18	0.01	1.1956960773691052	846924.0625	0.0658428892493248	1.064368257522583	0.882	2.262219786643982	0.470703125
19	0.01	1.160056354458889	846924.0625	0.06544914841651917	0.9786383438110352	0.908	2.3135402500629425	0.455078125
20	0.01	1.1254789331428303	846924.0	0.0650077536702156	0.9179100179672242	0.92	2.350356310606003	0.4453125
21	0.01	1.091932149743863	846924.125	0.06448853760957718	0.8712732963562012	0.936	2.2236456125974655	0.451171875
22	0.01	1.0593852843738139	846924.0625	0.06387351453304291	0.8372538056373596	0.944	2.269440472126007	0.455078125
23	0.01	1.027808532802195	846924.0625	0.06319611519575119	0.8124455013275147	0.954	2.190403163433075	0.453125
24	0.01	0.9971729791634936	846924.125	0.062303364276885986	0.7931230745315552	0.954	2.001000687479973	0.478515625
25	0.01	0.9674505694779668	846924.0625	0.06121720001101494	0.7790378074645996	0.96	2.094924569129944	0.46484375
26	0.01	0.9386140859616945	846924.0625	0.059921231120824814	0.7680596017837524	0.966	2.1566278636455536	0.46875
