case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
cross_residual	1	0.01	400	1919.9701919555664	4.799925479888916	12	0.03	100	4.965890884399414	4.483629150390625	0	0.0	True
cross_residual	2	0.01	400	1442.0996894836426	3.6052492237091065	96	0.24	100	4.549674034118652	4.067412719726563	4	0.04	True
cross_residual	3	0.01	400	1116.4908294677734	2.791227073669434	204	0.51	100	4.364258289337158	3.881996765136719	8	0.08	True
cross_residual	4	0.01	400	901.0457763671875	2.2526144409179687	275	0.6875	100	4.267594337463379	3.7853329467773436	13	0.13	True
cross_residual	5	0.01	400	726.3066062927246	1.8157665157318115	326	0.815	100	4.1938157081604	3.7115542602539064	12	0.12	True
cross_residual	6	0.01	400	617.0842971801758	1.5427107429504394	338	0.845	100	4.066188812255859	3.583927001953125	15	0.15	True
cross_residual	7	0.01	400	532.8023300170898	1.3320058250427247	357	0.8925	100	4.037149429321289	3.5548876953125	17	0.17	True
cross_residual	8	0.01	400	470.41844940185547	1.1760461235046387	366	0.915	100	4.05519437789917	3.5729330444335936	14	0.14	False
cross_residual	9	0.01	400	429.8617362976074	1.0746543407440186	367	0.9175	100	4.05493688583374	3.5726751708984374	13	0.13	False
cross_residual	10	0.01	400	403.75344467163086	1.009383611679077	372	0.93	100	3.993140697479248	3.51087890625	16	0.16	True
cross_residual	11	0.01	400	379.7554397583008	0.9493885993957519	373	0.9325	100	4.050459384918213	3.5681976318359374	14	0.14	False
cross_residual	12	0.01	400	386.871826171875	0.9671795654296875	376	0.94	100	4.000150680541992	3.517889099121094	17	0.17	False
cross_residual	13	0.01	400	358.6469249725342	0.8966173124313355	377	0.9425	100	4.001491546630859	3.5192300415039064	17	0.17	False
cross_residual	14	0.01	400	350.9352779388428	0.877338194847107	371	0.9275	100	4.0388946533203125	3.55663330078125	14	0.14	False
cross_residual	15	0.01	400	337.7941589355469	0.8444853973388672	379	0.9475	100	4.014781951904297	3.532520446777344	14	0.14	False
cross_residual	16	0.01	400	328.091703414917	0.8202292585372924	385	0.9625	100	3.997443437576294	3.515181579589844	14	0.14	False
cross_residual	17	0.01	400	312.6857280731201	0.7817143201828003	385	0.9625	100	3.9985477924346924	3.51628662109375	14	0.14	False
cross_residual	18	0.01	400	311.6590280532837	0.7791475701332092	378	0.945	100	3.9634270668029785	3.481165466308594	13	0.13	True
cross_residual	19	0.01	400	305.8282413482666	0.7645706033706665	385	0.9625	100	3.9534177780151367	3.4711563110351564	16	0.16	True
cross_residual	20	0.01	400	299.1644039154053	0.7479110097885132	380	0.95	100	3.969200372695923	3.4869390869140626	15	0.15	False
cross_residual	21	0.01	400	297.9061164855957	0.7447652912139893	380	0.95	100	3.968545436859131	3.4862841796875	14	0.14	False
cross_residual	22	0.01	400	298.8895893096924	0.747223973274231	383	0.9575	100	3.9744625091552734	3.492200927734375	14	0.14	False
cross_residual	23	0.01	400	294.15097999572754	0.7353774499893189	382	0.955	100	3.9848265647888184	3.5025650024414063	14	0.14	False
cross_residual	24	0.01	400	292.9471969604492	0.732367992401123	384	0.96	100	3.9635369777679443	3.4812753295898435	13	0.13	False
cross_residual	25	0.01	400	293.79944610595703	0.7344986152648926	382	0.955	100	4.065234661102295	3.5829736328125	11	0.11	False
cross_residual	26	0.01	400	294.9546298980713	0.7373865747451782	388	0.97	100	4.025345802307129	3.543084716796875	14	0.14	False
cross_residual	27	0.01	400	289.9399652481079	0.7248499131202698	388	0.97	100	3.998809814453125	3.5165478515625	15	0.15	False
cross_residual	28	0.01	400	283.7107734680176	0.709276933670044	389	0.9725	100	3.9780731201171875	3.495811767578125	15	0.15	False
cross_residual	29	0.01	400	283.6423931121826	0.7091059827804566	387	0.9675	100	3.93609619140625	3.4538345336914062	13	0.13	True
cross_residual	30	0.01	400	278.80443000793457	0.6970110750198364	382	0.955	100	3.9336965084075928	3.4514349365234374	14	0.14	True
cross_residual	31	0.01	400	282.4021396636963	0.7060053491592407	379	0.9475	100	3.95007061958313	3.467808837890625	12	0.12	False
cross_residual	32	0.01	400	277.90109729766846	0.6947527432441711	388	0.97	100	3.979747772216797	3.497486267089844	11	0.11	False
cross_residual	33	0.01	400	274.75159454345703	0.6868789863586425	383	0.9575	100	3.985412120819092	3.503150634765625	10	0.1	False
cross_residual	34	0.01	400	276.7381272315979	0.6918453180789947	388	0.97	100	3.936157703399658	3.4538958740234373	10	0.1	False
cross_residual	35	0.01	400	276.8114585876465	0.6920286464691162	384	0.96	100	3.943023681640625	3.46076171875	12	0.12	False
cross_residual	36	0.01	400	274.8694648742676	0.687173662185669	379	0.9475	100	3.9056591987609863	3.423397216796875	11	0.11	True
cross_residual	37	0.01	400	273.68395233154297	0.6842098808288575	387	0.9675	100	3.898564338684082	3.4163031005859374	14	0.14	True
cross_residual	38	0.01	400	275.47058868408203	0.6886764717102051	384	0.96	100	3.91792368888855	3.4356622314453125	16	0.16	False
cross_residual	39	0.01	400	273.0209665298462	0.6825524163246155	387	0.9675	100	3.938767194747925	3.4565057373046875	13	0.13	False
cross_residual	40	0.01	400	268.3124580383301	0.6707811450958252	382	0.955	100	3.914311647415161	3.4320501708984374	16	0.16	False
cross_residual	41	0.01	400	272.4161329269409	0.6810403323173523	382	0.955	100	3.885707378387451	3.4034454345703127	13	0.13	True
cross_residual	42	0.01	400	271.40778160095215	0.6785194540023803	391	0.9775	100	3.901810884475708	3.4195492553710936	12	0.12	False
cross_residual	43	0.01	400	269.5570478439331	0.6738926196098327	383	0.9575	100	3.8901360034942627	3.4078744506835936	11	0.11	False
cross_residual	44	0.01	400	272.4469156265259	0.6811172890663147	385	0.9625	100	3.8544087409973145	3.3721469116210936	12	0.12	True
cross_residual	45	0.01	400	270.3103427886963	0.6757758569717407	386	0.965	100	3.909275531768799	3.42701416015625	14	0.14	False
cross_residual	46	0.01	400	266.7588243484497	0.6668970608711242	378	0.945	100	3.904252767562866	3.421991271972656	14	0.14	False
cross_residual	47	0.01	400	265.2678813934326	0.6631697034835815	390	0.975	100	3.8751096725463867	3.392847900390625	15	0.15	False
cross_residual	48	0.01	400	265.7303943634033	0.6643259859085083	379	0.9475	100	3.844761610031128	3.3625	17	0.17	True
cross_residual	49	0.01	400	265.56048583984375	0.6639012145996094	386	0.965	100	3.864140510559082	3.3818789672851564	14	0.14	False
cross_residual	50	0.01	400	267.7721185684204	0.669430296421051	384	0.96	100	3.9148266315460205	3.432564697265625	13	0.13	False
cross_residual	51	0.01	400	264.4868392944336	0.661217098236084	382	0.955	100	3.8851499557495117	3.4028884887695314	11	0.11	False
cross_residual	52	0.01	400	267.5614080429077	0.6689035201072693	384	0.96	100	3.853800058364868	3.3715380859375	14	0.14	False
cross_residual	53	0.01	400	270.1404342651367	0.6753510856628417	389	0.9725	100	3.8408961296081543	3.3586346435546877	13	0.13	True
cross_residual	54	0.01	400	266.1423797607422	0.6653559494018555	377	0.9425	100	3.843857526779175	3.3615960693359375	13	0.13	False
cross_residual	55	0.01	400	263.26719665527344	0.6581679916381836	389	0.9725	100	3.809028148651123	3.3267669677734375	13	0.13	True
cross_residual	56	0.01	400	261.6941223144531	0.6542353057861328	384	0.96	100	3.7948226928710938	3.31256103515625	14	0.14	True
cross_residual	57	0.01	400	263.5791721343994	0.6589479303359985	381	0.9525	100	3.7862823009490967	3.3040203857421875	15	0.15	True
cross_residual	58	0.01	400	260.1173596382141	0.6502933990955353	390	0.975	100	3.777557373046875	3.29529541015625	15	0.15	True
cross_residual	59	0.01	400	258.19557762145996	0.6454889440536499	383	0.9575	100	3.78014874458313	3.297887268066406	15	0.15	False
cross_residual	60	0.01	400	259.22256565093994	0.6480564141273498	382	0.955	100	3.7673704624176025	3.285108642578125	12	0.12	True
cross_residual	61	0.001	400	260.108850479126	0.6502721261978149	387	0.9675	100	3.7586140632629395	3.2763525390625	14	0.14	True
cross_residual	62	0.001	400	256.4295721054077	0.6410739302635193	389	0.9725	100	3.769124746322632	3.2868634033203126	11	0.11	False
cross_residual	63	0.001	400	256.5255126953125	0.6413137817382812	385	0.9625	100	3.763293981552124	3.2810321044921875	15	0.15	False
cross_residual	64	0.001	400	257.46086025238037	0.6436521506309509	387	0.9675	100	3.7595129013061523	3.2772509765625	13	0.13	False
cross_residual	65	0.001	400	256.9444828033447	0.6423612070083619	387	0.9675	100	3.77902889251709	3.296767578125	14	0.14	False
cross_residual	66	0.001	400	255.87697982788086	0.6396924495697022	384	0.96	100	3.784940481185913	3.3026788330078123	13	0.13	False
