epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match
1	0.01	500	2305.0672130584717	4.610134426116943	3	0.006
2	0.01	500	2253.1476917266846	4.506295383453369	14	0.028
3	0.01	500	2193.164876937866	4.386329753875732	54	0.108
4	0.01	500	2135.6539993286133	4.271307998657226	79	0.158
5	0.01	500	2079.882333755493	4.159764667510986	108	0.216
6	0.01	500	2028.8016967773438	4.057603393554688	121	0.242
7	0.01	500	1970.6575908660889	3.9413151817321777	161	0.322
8	0.01	500	1918.5328912734985	3.837065782546997	190	0.38
9	0.01	500	1869.4049263000488	3.7388098526000975	194	0.388
10	0.01	500	1816.3995275497437	3.632799055099487	198	0.396
11	0.01	500	1764.2888679504395	3.5285777359008788	206	0.412
12	0.01	500	1712.7471647262573	3.4254943294525146	223	0.446
13	0.01	500	1663.3983716964722	3.3267967433929444	235	0.47
14	0.01	500	1612.047929763794	3.224095859527588	245	0.49
15	0.01	500	1568.1917753219604	3.136383550643921	262	0.524
16	0.01	500	1516.5763416290283	3.0331526832580566	276	0.552
17	0.01	500	1474.3304195404053	2.9486608390808104	278	0.556
18	0.01	500	1423.3968667984009	2.846793733596802	294	0.588
19	0.01	500	1382.8750638961792	2.765750127792358	308	0.616
20	0.01	500	1342.2585592269897	2.6845171184539796	321	0.642
21	0.01	500	1296.7393894195557	2.593478778839111	328	0.656
22	0.01	500	1258.8123006820679	2.517624601364136	333	0.666
23	0.01	500	1218.3511810302734	2.436702362060547	349	0.698
24	0.01	500	1180.8503141403198	2.36170062828064	349	0.698
25	0.01	500	1143.9319944381714	2.287863988876343	358	0.716
26	0.01	500	1107.210524559021	2.214421049118042	373	0.746
27	0.01	500	1072.0953578948975	2.144190715789795	380	0.76
28	0.01	500	1039.9857540130615	2.079971508026123	392	0.784
29	0.01	500	1010.0162472724915	2.020032494544983	396	0.792
30	0.01	500	975.5207433700562	1.9510414867401122	395	0.79
31	0.01	500	959.0988922119141	1.918197784423828	398	0.796
32	0.01	500	915.2832217216492	1.8305664434432984	409	0.818
33	0.01	500	884.417230129242	1.7688344602584838	416	0.832
34	0.01	500	860.7601962089539	1.7215203924179077	426	0.852
