seed	subset	restored_group_count	restored_groups	restored_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms
43	0	0		0	13.388311767578125	12.86177490234375	0.03	1.1737149047851563	7.825816151526944	160.384921875	4.905463312725924
43	1	1	layer1_0_conv1	36864	9.409480590820312	8.88294189453125	0.03	1.8568966674804688	5.14366195436493	106.15578125	3.2357312977517156
43	2	1	layer1_1_conv1	36864	49.094658203125	48.568125	0.04	0.29224607467651365	28.89553112074599	618.0167578125	17.814743893752723
43	3	2	layer1_0_conv1,layer1_1_conv1	73728	10.37292236328125	9.846385498046875	0.03	1.9009051513671875	6.379311884301276	130.19787109375	3.962130503277246
43	4	1	layer2_0_conv1	73728	5.882333374023437	5.3557958984375	0.01	2.961944885253906	2.418556950871609	54.386796875	1.388640719147685
43	5	2	layer1_0_conv1,layer2_0_conv1	110592	5.84241943359375	5.3158807373046875	0.01	3.1451507568359376	2.597998920067496	57.56173828125	1.4732174080053493
43	6	2	layer1_1_conv1,layer2_0_conv1	110592	5.987242431640625	5.460704345703125	0.01	3.0682037353515623	2.8063490682332155	61.9690185546875	1.5897211331708463
43	7	3	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1	147456	6.128197021484375	5.601658935546875	0.02	3.002579345703125	3.1094372245658257	67.93603515625	1.7590650259797105
43	8	1	layer2_1_conv1	147456	5.825586547851563	5.2990484619140625	0.01	3.4308822631835936	2.5744422086243994	56.123486328125	1.5125827714954974
43	9	2	layer1_0_conv1,layer2_1_conv1	184320	5.588226318359375	5.061688232421875	0.01	3.497156677246094	2.4124739413262324	53.712470703125	1.3864016626910471
43	10	2	layer1_1_conv1,layer2_1_conv1	184320	15.35044921875	14.8239111328125	0.04	0.8419325256347656	9.389641691446485	199.9025390625	5.719961756865163
43	11	3	layer1_0_conv1,layer1_1_conv1,layer2_1_conv1	221184	5.543455810546875	5.016917724609375	0.01	3.486993408203125	2.160266724119024	48.2462060546875	1.2633849775751254
43	12	2	layer2_0_conv1,layer2_1_conv1	221184	5.903873291015625	5.377335205078125	0.01	2.77112548828125	2.299057609881642	51.94205078125	1.3268933995427064
43	13	3	layer1_0_conv1,layer2_0_conv1,layer2_1_conv1	258048	5.6811962890625	5.154658203125	0.01	3.0421136474609374	2.186754406975274	49.3366064453125	1.251471711750809
43	14	3	layer1_1_conv1,layer2_0_conv1,layer2_1_conv1	258048	5.740055541992188	5.213517456054688	0.01	3.0064666748046873	2.2865626014333036	51.564521484375	1.3074648208699537
43	15	4	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer2_1_conv1	294912	5.722343139648437	5.195805053710938	0.01	3.0801556396484373	2.310532841514864	52.041083984375	1.3143500354262558
43	16	1	layer3_0_conv1	294912	5.134683227539062	4.6081454467773435	0.01	3.7974169921875	1.7589455549652557	39.28994140625	1.0691858577616429
43	17	2	layer1_0_conv1,layer3_0_conv1	331776	5.070763854980469	4.544225769042969	0.01	4.086103820800782	1.5228339649850569	34.233896484375	0.9481800515494143
43	18	2	layer1_1_conv1,layer3_0_conv1	331776	10.584295654296875	10.057757568359374	0.0	1.5444358825683593	5.975891710722447	125.51763671875	3.548457851658943
43	19	3	layer1_0_conv1,layer1_1_conv1,layer3_0_conv1	368640	5.3765325927734375	4.849994506835937	0.0	3.627818298339844	1.8753623510548318	42.34599609375	1.0898930656405013
43	20	2	layer2_0_conv1,layer3_0_conv1	368640	5.50474365234375	4.97820556640625	0.01	3.540247497558594	1.9159556963742013	43.2719384765625	1.1630645050764596
43	21	3	layer1_0_conv1,layer2_0_conv1,layer3_0_conv1	405504	5.371961059570313	4.845422973632813	0.01	3.739459228515625	1.821752548682947	41.067412109375	1.10565105608076
43	22	3	layer1_1_conv1,layer2_0_conv1,layer3_0_conv1	405504	5.34657958984375	4.82004150390625	0.01	3.8023385620117187	1.8204036156112382	41.046103515625	1.106845399448925
43	23	4	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer3_0_conv1	442368	5.30958740234375	4.78304931640625	0.01	3.807366943359375	1.788312308598791	40.2986865234375	1.0727253369047922
43	24	2	layer2_1_conv1,layer3_0_conv1	442368	4.9810498046875	4.454512329101562	0.01	4.020030212402344	1.4921812111287633	33.42640625	0.9485317601430118
43	25	3	layer1_0_conv1,layer2_1_conv1,layer3_0_conv1	479232	4.941785888671875	4.415248107910156	0.01	4.214993286132812	1.3456690511832767	30.23368408203125	0.8622860355075049
43	26	3	layer1_1_conv1,layer2_1_conv1,layer3_0_conv1	479232	9.144747314453125	8.618209228515624	0.0	1.8537982177734376	4.95062436876653	102.82490234375	2.907621853637436
43	27	4	layer1_0_conv1,layer1_1_conv1,layer2_1_conv1,layer3_0_conv1	516096	5.1007177734375	4.5741796875	0.01	4.019617309570313	1.5196427096010925	34.28813232421875	0.9557966654184351
43	28	3	layer2_0_conv1,layer2_1_conv1,layer3_0_conv1	516096	5.4039111328125	4.877373046875	0.01	3.6355755615234373	1.8158992067841262	41.00310546875	1.1089908225640328
43	29	4	layer1_0_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1	552960	5.270084838867188	4.74354736328125	0.01	3.846200256347656	1.709996709095426	38.5120849609375	1.04041810067816
43	30	4	layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1	552960	5.242532348632812	4.7159945678710935	0.01	3.9083050537109374	1.7006952995622482	38.3443310546875	1.032553957806201
