seed	group	param_count	reveal_alone_kl_recovery	hide_alone_kl_damage	shapley_kl_recovery	head_context_interaction
43	layer1_0_conv1	36864	3.9788330078125007	0.20080137560376898	7.453206401628552	31.52356933593749
43	layer1_1_conv1	36864	-35.706350097656255	0.29922581026563416	-14.58224695797533	-264.0984741210938
43	layer2_0_conv1	73728	7.50597900390625	1.2996745903254485	10.85806824600925	71.07153564453125
43	layer2_1_conv1	147456	7.562726440429688	0.16933096239576118	7.95077561295261	67.75338195800781
43	layer3_0_conv1	294912	8.253629455566408	1.4227792961359955	10.280567111772594	75.44298431396483
43	bn_gamma	4800	8.736067504882813	12.74136465380201	18.988375430864394	89.09693725585937
43	head	51300	-89.35519775390624	4.2040367729426364	-28.08697103520007	0.0
44	layer1_0_conv1	36864	3.1466259765625004	0.24587061042548156	6.919189949562098	35.99837890625
44	layer1_1_conv1	36864	-23.76475341796875	0.28703998679877263	-12.205964598447139	-257.7824340820313
44	layer2_0_conv1	73728	6.067925109863282	1.2388091098761653	10.485270603706388	81.60305633544921
44	layer2_1_conv1	147456	5.514619140625001	0.17752681846381163	7.533616196840945	76.6858203125
44	layer3_0_conv1	294912	6.077245178222657	1.557877408216009	9.815109394599938	85.2803890991211
44	bn_gamma	4800	6.813912353515626	13.751091214368353	18.77107705105339	100.53896514892577
44	head	51300	-100.87934814453125	4.1925865756964775	-30.342412461072254	0.0
45	layer1_0_conv1	36864	2.1560693359374996	0.19806787478504703	6.470053084855388	30.983188476562493
45	layer1_1_conv1	36864	-24.402858886718754	0.2872934340196661	-12.664609373564415	-268.0144653320312
45	layer2_0_conv1	73728	3.7846008300781246	1.0055450247484259	9.639262256150559	72.31617065429688
45	layer2_1_conv1	147456	3.626652832031249	0.14579526888905092	6.890303690120689	68.39571533203124
45	layer3_0_conv1	294912	4.345807495117187	1.276253795500379	9.258988119289395	75.86858947753906
45	bn_gamma	4800	4.753722534179687	12.571370754118544	17.66779098590723	89.97954742431641
45	head	51300	-90.0563916015625	4.129421291227918	-28.368707803562163	0.0
46	layer1_0_conv1	36864	4.675684814453126	0.2154830206025508	6.9818113617412925	37.87265502929687
46	layer1_1_conv1	36864	-27.96349365234375	0.40041904812940626	-12.21461161697778	-233.16716064453124
46	layer2_0_conv1	73728	7.546227111816407	1.0659421957124142	10.305342068782716	78.89113128662109
46	layer2_1_conv1	147456	7.5370706176757825	0.1623039663422969	7.754964657894046	74.31583465576172
46	layer3_0_conv1	294912	8.10074462890625	1.360616496859875	10.094650034379235	82.07406738281249
46	bn_gamma	4800	8.580745849609375	12.972499889193859	18.638848416438965	98.12823791503907
46	head	51300	-98.0763525390625	4.007709239779797	-28.98019936900212	0.0
47	layer1_0_conv1	36864	4.524377441406251	0.1789650231017731	6.645252923247563	38.67192138671874
47	layer1_1_conv1	36864	-27.5812158203125	0.27708277517696844	-11.63762589653597	-215.1701904296875
