seed	case	utilization_strength	state_sha256	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms	norm_matched_soft_ce	norm_matched_posterior_kl	norm_matched_fidelity	norm_matched_prediction_entropy	norm_matched_logit_rms
43	lambda_000	0.0	8c113ed1d375b56337903c2bd3c6ab70b9e6ea8773bc5566cd82c8bf6e4bc531	4.79615478515625	4.269616394042969	0.01	4.4327935791015625	0.9981343986818765	22.304287109375	0.5897728641180433	4.79615478515625	4.269616394042969	0.01	4.4327935791015625	0.5897728641180433
43	lambda_025	0.25	1793d1fdd7358bcf6163868e0f2bf120868511d8ec41c6a2373cb01bf1346c29	4.653032836914062	4.126494750976563	0.0	4.585740661621093	0.34409323462365476	7.735816650390625	0.19906973593599053	4.854249877929687	4.327711791992187	0.0	4.441180419921875	0.582371984994342
43	lambda_050	0.5	aeeb3e662eed805a52ca4528d1bd4fb48b92ee49ec5c79cb8c0b9263b2ee2cba	4.646707153320312	4.120169067382813	0.02	4.572131958007812	0.505051350012949	11.417076416015625	0.25731955715061283	4.755137023925781	4.2285986328125	0.02	4.477991333007813	0.5078110096131975
43	lambda_075	0.75	f16416f325ee542912e3bcbcc369c616d5fb2831a1f1f321342f7d3cc5d35870	4.767648620605469	4.241110229492188	0.01	4.46173828125	1.0197844513172563	23.0581640625	0.53644664226743	4.764915161132812	4.238377075195313	0.01	4.468685913085937	0.5240032390465253
43	lambda_100	1.0	84f9c67ed97b865374536dd6d0d0e7ffd1f7a507f6557d273dbab8a379c4f1be	13.388311767578125	12.86177490234375	0.03	1.1737149047851563	7.825816151526944	160.384921875	4.905463312725924	4.76685546875	4.2403170776367185	0.03	4.39845458984375	0.626424704299128
44	lambda_000	0.0	506294e94d938559edba3feeffdd4241de1222eca661a9dc3959ced478e0e1a3	4.708346557617188	4.228311157226562	0.01	4.43187255859375	1.0004318067958595	22.186708984375	0.6003319800977831	4.708346557617188	4.228311157226562	0.01	4.43187255859375	0.6003319800977831
44	lambda_025	0.25	ae91bd11b3c806294f78e1f6de52b1d639ee16937205b7424861c77ede84a9d1	4.597647094726563	4.117611083984375	0.01	4.583309631347657	0.3446110985366245	7.733510131835938	0.20778123296266285	4.699036560058594	4.2190008544921875	0.01	4.424718933105469	0.6014689253519774
44	lambda_050	0.5	b1bc8f2ab08c5c0194217b1c3cf7306cea65996653adf5871538f571e11d512f	4.63962646484375	4.159590454101562	0.0	4.562528686523438	0.5041870470367701	11.38731689453125	0.29119014272250016	4.758949279785156	4.27891357421875	0.0	4.439736328125	0.5765018176060897
44	lambda_075	0.75	c96d082b7c7ee2b94f6dc36fee03771e235dd23a99204b3554351eaffdedcf76	4.778766174316406	4.29873046875	0.0	4.44025634765625	1.0191717667242801	23.04554443359375	0.5774697088579084	4.7683740234375	4.288338012695313	0.0	4.4444873046875	0.568647913228168
44	lambda_100	1.0	72acdde2294d8e2f00f8b95929e8fa291819cc6c384bf8cdef7db6995631356f	11.4559228515625	10.97588623046875	0.01	2.118557891845703	8.109546301177243	169.62345703125	5.047332061346865	4.831166381835938	4.351130981445312	0.01	4.4295657348632815	0.6277868531657959
45	lambda_000	0.0	a4d11af0b8bab5e9528e6440965396d0286e78b72f454d12bf1a520ec4d027ef	4.756966552734375	4.229452514648438	0.0	4.435577392578125	0.9982159913592216	22.2419384765625	0.5745871904707979	4.756966552734375	4.229452514648438	0.0	4.435577392578125	0.5745871904707979
45	lambda_025	0.25	055bbca05a6f222b7d269465bdaa78fb7548a8c7b9e00993be64c8aae7e8835a	4.596021728515625	4.06850830078125	0.01	4.586579284667969	0.34010788047519297	7.630684814453125	0.1932311364525049	4.6848974609375	4.157384033203125	0.01	4.448903198242188	0.5660401402989786
45	lambda_050	0.5	f8f27bb9a1d07c2432d7cca9e80c2b98aa110cbefce333320dc341649c3a3a29	4.660870971679688	4.133357238769531	0.0	4.56384033203125	0.5022434828673874	11.346767578125	0.2824048555556477	4.81835693359375	4.290843505859375	0.0	4.438854370117188	0.5611373251319591
45	lambda_075	0.75	e75763637e141d0cad3e47003f07bdfc5acbd1c2ba7d8ee14a2559a4d32c7d83	4.89146728515625	4.363953857421875	0.01	4.435197143554688	1.0186834208257414	23.03266845703125	0.574838165065286	4.894202880859375	4.366689453125	0.01	4.443175048828125	0.5632214123903672
45	lambda_100	1.0	f9c4c743683039a4e495e8c5836293fc5c6f448ab443a314b3af78dc5eeba3ea	9.420594482421874	8.8930810546875	0.01	2.308369903564453	7.465575946887822	156.64498046875	4.239371268242498	4.72217041015625	4.194656677246094	0.01	4.449945068359375	0.5611220535537478
46	lambda_000	0.0	292df04a251b9b93b53bb99f24647ea4b35546c6471f300213441c1ce271f694	4.716495971679688	4.090228271484375	0.01	4.449696655273438	0.9961200976907542	22.24281005859375	0.5581243875976484	4.716495971679688	4.090228271484375	0.01	4.449696655273438	0.5581243875976484
46	lambda_025	0.25	970cdf19aff625510c552037192f4cd71ba2da6095806c5ac01ecf4fca644545	4.620002746582031	3.993735046386719	0.03	4.5855859375	0.3407300454648024	7.650860595703125	0.19661659939639664	4.7569512939453125	4.13068359375	0.03	4.435260620117187	0.5714308811686021
46	lambda_050	0.5	20ac52953b46ed7fdb8080c823af50c1e907b21cf46d98e1e80d1c6a23b1acbb	4.642422485351562	4.01615478515625	0.01	4.56383544921875	0.5000793203379227	11.302091064453125	0.28883199212991345	4.75944091796875	4.133173217773438	0.0	4.4420843505859375	0.5768664298862324
46	lambda_075	0.75	12a8a95a85445d251abf5120e7a0ed036caa9f25a0a50c18c793c7748ecdcfa6	4.740405883789062	4.114137878417969	0.0	4.446787719726562	1.0158934816406882	22.970908203125	0.5838311724211247	4.735145874023438	4.108878479003907	0.0	4.452992858886719	0.5730254394849106
46	lambda_100	1.0	b25b36f57c6ca6122840b658b2021cd597720b8466bafcafbb1cb0bea0881a53	13.20707275390625	12.5808056640625	0.01	0.6834645080566406	8.318919631065382	174.6851171875	4.505130929007502	4.777166137695312	4.1508984375	0.01	4.459498291015625	0.5381103456918711
47	lambda_000	0.0	fd7751a4f6fd90f2c7ad6dfcc634f74d0c7bb8c5b9218c3eeec490dfb4071365	4.736255798339844	4.2280035400390625	0.0	4.4373406982421875	0.9851953581898506	21.9437060546875	0.5964498854223316	4.736255798339844	4.2280035400390625	0.0	4.4373406982421875	0.5964498854223316
47	lambda_025	0.25	925e638e78d4aa5ed3dfd85b9406973a160f8f256fcdbadab7671524b082b114	4.606913452148437	4.098661499023438	0.0	4.585330200195313	0.3334952358609024	7.486316528320312	0.20215100768293628	4.71134521484375	4.20309326171875	0.0	4.444224243164062	0.5906007352819881
47	lambda_050	0.5	c99928adce50b73889bf3ad4e93a4c0e9517dd950dea676612f25655f150ea0d	4.6226959228515625	4.114443969726563	0.0	4.557821655273438	0.5029586232574051	11.36810546875	0.31659627781292693	4.711689453125	4.2034375	0.0	4.4374542236328125	0.6165405826375604
47	lambda_075	0.75	b7f9dbec58e5ffdd595f88d10fc29d212f282e76723eb3aca0025c9d37b02c33	4.774525756835938	4.266273498535156	0.01	4.388074035644531	1.0169893555210714	22.991826171875	0.6656029192346966	4.739051513671875	4.230799560546875	0.01	4.4048245239257815	0.6421948752617853
47	lambda_100	1.0	0ded92cdeeb49258aa55519cf564fa7be1d66efee92985340591677cc7656607	13.115885009765625	12.60763427734375	0.0	1.4219285583496093	8.305666834306562	174.226015625	5.102326981388002	4.842347106933594	4.334094848632812	0.0	4.41938232421875	0.6086763623326439
48	lambda_000	0.0	39e782553505c42c561c2dc5c1563345d50430adc315893d2467d57e608e24cb	4.721925964355469	4.117611389160157	0.01	4.44929443359375	0.9914027100508117	22.1453759765625	0.5588832073457969	4.721925964355469	4.117611389160157	0.01	4.44929443359375	0.5588832073457969
48	lambda_025	0.25	7191184967033b5f317f2a33ddcc93c8d4bdf3ed734a78fc4a0b03c71bda81dd	4.586119384765625	3.9818048095703125	0.06	4.58537353515625	0.34343749666778034	7.70082763671875	0.20257270920498752	4.648817749023437	4.044503173828125	0.06	4.447696228027343	0.5729013160822289
48	lambda_050	0.5	9c542226fd7cd217845220edcc95ac0c6422c023c0e819709da2273193cf0d38	4.607807006835937	4.0034921264648435	0.01	4.560626525878906	0.5046275761698953	11.402138671875	0.30660826859544044	4.705465087890625	4.10114990234375	0.01	4.441636352539063	0.5985668512293552
48	lambda_075	0.75	c5f1b53c682b7cdaf32cb014f9aea313660adf8cb3015ed2a4f4b2582fe62ccd	4.702787780761719	4.098472595214844	0.01	4.421896362304688	1.0194484820330703	23.05062255859375	0.6231167329566949	4.703127746582031	4.098812561035157	0.01	4.431827087402343	0.6055343916030389
48	lambda_100	1.0	730ea3701f02f60cd4928185d927c0715ef88d0e80bf730bfdb3526d645012b5	10.667381591796875	10.063067016601563	0.01	2.104903564453125	8.324268572410732	173.6625	4.525446455875928	4.704456481933594	4.1001416015625	0.0	4.461334228515625	0.5433545841359604
49	lambda_000	0.0	2e41d4e771ea47bb67f680c6e91e48b4f837882ba7fa98dc96c7822fb71b8258	4.777874450683594	4.193753051757812	0.01	4.426525268554688	1.010232755827718	22.469208984375	0.6105343938663489	4.777874450683594	4.193753051757812	0.01	4.426525268554688	0.6105343938663489
49	lambda_025	0.25	29bc7e7b276cde0f63342c60d345b9d8a0a5f8ae603e8c1151b976ccaca7ea60	4.652834777832031	4.068713684082031	0.01	4.585036010742187	0.3453367751206529	7.750947875976562	0.19963380476727727	4.852123718261719	4.268002319335937	0.01	4.434859924316406	0.5802396713185638
49	lambda_050	0.5	a26aad119533d23de16bf4a71beff386f3f6bf55079faa3e5cfb447058474a4b	4.678921203613282	4.094800415039063	0.01	4.561170959472657	0.503566496108923	11.380009765625	0.3039867843967738	4.838201293945312	4.254080200195313	0.01	4.438165283203125	0.6059252512944563
49	lambda_075	0.75	3e2868b45d8552604c6c62b41383ebfe237152d9f798712ed9280fb4bed96a4e	4.825652160644531	4.241531066894531	0.01	4.437451171875	1.0134067572378005	22.910615234375	0.6268103079157002	4.827168884277344	4.243047790527344	0.01	4.439879760742188	0.6254701356779554
49	lambda_100	1.0	4e9345fd9ae8050842454c898351623060b2e7b33cb1dee1ad556847d817248a	12.06871337890625	11.484593505859374	0.01	1.276893081665039	7.907198250941196	167.2719140625	4.446770949239459	4.770335693359375	4.186213989257812	0.02	4.4180819702148435	0.5793227457557661
50	lambda_000	0.0	e69071851a01b89c7c23e4d3542e4927ef4a62c5e81974c8b875e9e539b27b80	4.8044775390625	4.236864929199219	0.01	4.445814514160157	1.0048375422565208	22.3468359375	0.5826267507281677	4.8044775390625	4.236864929199219	0.01	4.445814514160157	0.5826267507281677
50	lambda_025	0.25	fe1cedc8bd64b504e1ca2863d8f68bf93da3915faf88133b21400d6f3f619ff3	4.620196838378906	4.052583923339844	0.02	4.589519653320313	0.3382711008148411	7.578917846679688	0.17658704198903583	4.7214697265625	4.153856811523437	0.02	4.470674743652344	0.5175384949450621
50	lambda_050	0.5	4d2269426fc9ac60a37f1edde222b9e58591277bddfa41e0a69fd0a61325c209	4.6259765625	4.058363647460937	0.02	4.568499145507812	0.504260829402626	11.39366455078125	0.2692428937592295	4.720006713867187	4.152394104003906	0.02	4.46093994140625	0.5320663305247993
50	lambda_075	0.75	9db89599377b3619ff6a5c85940b3560ff298f522b13b111f4988229b2355114	4.699442443847656	4.1318292236328125	0.03	4.456572875976563	1.017191587753403	22.9981591796875	0.5566925469205376	4.705443420410156	4.1378305053710935	0.03	4.458649291992187	0.5499312368236369
50	lambda_100	1.0	c548eec0cd7f45b519368a752f54c2bfaed350544158cc6023aea9f64965357d	9.26755615234375	8.699943237304687	0.0	2.6364007568359376	7.854112303635911	164.90037109375	4.350823018406977	4.69657470703125	4.128962097167968	0.0	4.453298034667969	0.5598491792577934
51	lambda_000	0.0	744ec7d5ee2e49fdff85828dc8e4269a44f9eb8d673a459d3cd1f83e4489f886	4.807120971679687	4.261264953613281	0.0	4.449422607421875	1.0098520574710514	22.4678076171875	0.5650756137179784	4.807120971679687	4.261264953613281	0.0	4.449422607421875	0.5650756137179784
51	lambda_025	0.25	8a474b99e63d4bd78ee80d3327d4ab299cdaad97640aaab58994d17fcc277343	4.6141665649414065	4.068309936523438	0.01	4.584620666503906	0.33798902897833355	7.585267333984375	0.20314279519406495	4.756166687011719	4.210310363769532	0.01	4.424598999023438	0.6092701832930937
51	lambda_050	0.5	4a0fd88b77da21d25cf83a142c57f54ee718028f5fc6f793f5b732fd0e693e98	4.6058657836914065	4.060009155273438	0.0	4.567568359375	0.5032290901884688	11.3673974609375	0.2797032664026792	4.674344482421875	4.128488159179687	0.0	4.460067138671875	0.5672036843420977
51	lambda_075	0.75	c8b118da1861bcf30e29421d45e6e71539cfb40469aba5ff58e879256854df7f	4.671634216308593	4.1257781982421875	0.0	4.467892456054687	1.014031088508589	22.91748046875	0.5359667448289119	4.6570501708984375	4.11119384765625	0.0	4.469930725097656	0.5352722045910964
51	lambda_100	1.0	0038d6a6a7da0391ec89aca8e87267881c969403ff0223bc7e1ffc2663709e6d	11.739920654296874	11.19406494140625	0.0	1.4051919555664063	8.414112552079542	173.1074609375	4.98007137875553	4.8192071533203125	4.273350219726563	0.0	4.447878723144531	0.6007529048905007
52	lambda_000	0.0	fcefb1c7925b7a4dbebf56492c341f65849fb9dee31cdc90e29aee6e9e127f85	4.803752746582031	4.287601928710938	0.01	4.443859558105469	0.9982062082331854	22.219873046875	0.5704565528687855	4.803752746582031	4.287601928710938	0.01	4.443859558105469	0.5704565528687855
