seed	case	utilization_strength	origin	best_epoch	selected_query_train_loss	selected_query_train_match	selected_validation_loss	selected_validation_match	epoch0_train_loss	epoch0_train_match	epoch0_validation_loss	epoch0_validation_match	surrogate_acc	fidelity	posterior_kl	accuracy_minus_blackbox	fidelity_minus_blackbox	posterior_kl_minus_blackbox	validation_loss_minus_blackbox	all_final_metrics_worse_than_blackbox	state_sha256
46	lambda_000	0.0	reused_lab04_matched_blackbox	96	0.5998803520202637	0.97	3.9223411083221436	0.12	4.700652027130127	0.0075	4.716495990753174	0.01	0.1524	0.157	2.9586137844085694	0.0	0.0	0.0	0.0	False	292df04a251b9b93b53bb99f24647ea4b35546c6471f300213441c1ce271f694
46	lambda_025	0.25	trained_lab08_intermediate	96	0.5871607565879822	0.975	3.449395179748535	0.21	4.642984809875489	0.0025	4.620002269744873	0.03	0.1785	0.1854	2.675425170516968	0.026099999999999984	0.02840000000000001	-0.28318861389160155	-0.4729459285736084	False	970cdf19aff625510c552037192f4cd71ba2da6095806c5ac01ecf4fca644545
46	lambda_050	0.5	trained_lab08_intermediate	98	0.5798030805587768	0.99	3.1679446697235107	0.2	4.677383804321289	0.005	4.642422199249268	0.01	0.1973	0.2086	2.5213895835876463	0.044899999999999995	0.05160000000000001	-0.43722420082092306	-0.7543964385986328	False	20ac52953b46ed7fdb8080c823af50c1e907b21cf46d98e1e80d1c6a23b1acbb
46	lambda_075	0.75	trained_lab08_intermediate	98	0.5866124415397644	0.9775	3.3679685592651367	0.19	4.791936302185059	0.005	4.740405559539795	0.0	0.1658	0.1784	2.7385630355834962	0.013399999999999995	0.021400000000000002	-0.22005074882507314	-0.5543725490570068	False	12a8a95a85445d251abf5120e7a0ed036caa9f25a0a50c18c793c7748ecdcfa6
46	lambda_100	1.0	reused_lab04_hybrid	100	0.6008232378959656	0.9725	3.7953784465789795	0.16	12.527622299194336	0.005	13.207072257995605	0.01	0.1093	0.1196	3.172499655151367	-0.04310000000000001	-0.0374	0.21388587074279775	-0.12696266174316406	True	b25b36f57c6ca6122840b658b2021cd597720b8466bafcafbb1cb0bea0881a53
47	lambda_000	0.0	reused_lab04_matched_blackbox	57	0.6718024110794067	0.9575	3.7446727752685547	0.18	4.716676654815674	0.0075	4.736255645751953	0.0	0.15	0.157	2.9716312255859374	0.0	0.0	0.0	0.0	False	fd7751a4f6fd90f2c7ad6dfcc634f74d0c7bb8c5b9218c3eeec490dfb4071365
47	lambda_025	0.25	trained_lab08_intermediate	87	0.6172161412239074	0.9775	3.390392780303955	0.3	4.605405578613281	0.01	4.6069135665893555	0.0	0.1845	0.191	2.656627495574951	0.0345	0.034	-0.31500373001098625	-0.3542799949645996	False	925e638e78d4aa5ed3dfd85b9406973a160f8f256fcdbadab7671524b082b114
47	lambda_050	0.5	trained_lab08_intermediate	93	0.6153068208694458	0.9675	3.0864481925964355	0.29	4.630416984558106	0.0075	4.6226959228515625	0.0	0.2011	0.208	2.554950548553467	0.051100000000000007	0.05099999999999999	-0.41668067703247047	-0.6582245826721191	False	c99928adce50b73889bf3ad4e93a4c0e9517dd950dea676612f25655f150ea0d
47	lambda_075	0.75	trained_lab08_intermediate	98	0.6236347436904908	0.9725	3.396299362182617	0.23	4.762837104797363	0.0125	4.7745256423950195	0.01	0.1579	0.1666	2.839282231903076	0.007900000000000018	0.009599999999999997	-0.13234899368286124	-0.3483734130859375	False	b7f9dbec58e5ffdd595f88d10fc29d212f282e76723eb3aca0025c9d37b02c33
47	lambda_100	1.0	reused_lab04_hybrid	88	0.6332484745979309	0.97	3.952007293701172	0.13	12.074624099731444	0.0125	13.115885734558105	0.0	0.1164	0.1238	3.1314981315612793	-0.03359999999999999	-0.03320000000000001	0.15986690597534192	0.2073345184326172	True	0ded92cdeeb49258aa55519cf564fa7be1d66efee92985340591677cc7656607
