unit编号	state名称	state类型	模块	计算	输入	输出	TensorShield Top-17
46	layer2.0.downsample.1.running_var	buffer	layer2.0.downsample.1	BatchNorm2d(128)	128×4×4	128×4×4	—
47	layer2.0.downsample.1.num_batches_tracked	buffer	layer2.0.downsample.1	BatchNorm2d(128)	128×4×4	128×4×4	—
—	—	—	layer2.0.add	主分支与 downsample 逐元素相加	128×4×4 + 128×4×4	128×4×4	—
—	—	—	layer2.0.relu（第2次）	ReLU(inplace=True)	128×4×4	128×4×4	—
—	—	—	layer2.1.identity	恒等映射	128×4×4	128×4×4	—
48	layer2.1.conv1.weight	parameter	layer2.1.conv1	3×3 卷积，stride=1，padding=1，bias=False	128×4×4	128×4×4	Top-7
49	layer2.1.bn1.weight	parameter	layer2.1.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
50	layer2.1.bn1.bias	parameter	layer2.1.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
51	layer2.1.bn1.running_mean	buffer	layer2.1.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
52	layer2.1.bn1.running_var	buffer	layer2.1.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
53	layer2.1.bn1.num_batches_tracked	buffer	layer2.1.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
—	—	—	layer2.1.relu（第1次）	ReLU(inplace=True)	128×4×4	128×4×4	—
54	layer2.1.conv2.weight	parameter	layer2.1.conv2	3×3 卷积，stride=1，padding=1，bias=False	128×4×4	128×4×4	Top-10
55	layer2.1.bn2.weight	parameter	layer2.1.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
56	layer2.1.bn2.bias	parameter	layer2.1.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
57	layer2.1.bn2.running_mean	buffer	layer2.1.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
58	layer2.1.bn2.running_var	buffer	layer2.1.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
59	layer2.1.bn2.num_batches_tracked	buffer	layer2.1.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
—	—	—	layer2.1.add	主分支与 identity 逐元素相加	128×4×4 + 128×4×4	128×4×4	—
—	—	—	layer2.1.relu（第2次）	ReLU(inplace=True)	128×4×4	128×4×4	—
60	layer3.0.conv1.weight	parameter	layer3.0.conv1	3×3 卷积，stride=2，padding=1，bias=False	128×4×4	256×2×2	Top-9
61	layer3.0.bn1.weight	parameter	layer3.0.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
62	layer3.0.bn1.bias	parameter	layer3.0.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
63	layer3.0.bn1.running_mean	buffer	layer3.0.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
64	layer3.0.bn1.running_var	buffer	layer3.0.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
65	layer3.0.bn1.num_batches_tracked	buffer	layer3.0.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
—	—	—	layer3.0.relu（第1次）	ReLU(inplace=True)	256×2×2	256×2×2	—
66	layer3.0.conv2.weight	parameter	layer3.0.conv2	3×3 卷积，stride=1，padding=1，bias=False	256×2×2	256×2×2	Top-11
67	layer3.0.bn2.weight	parameter	layer3.0.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
68	layer3.0.bn2.bias	parameter	layer3.0.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
69	layer3.0.bn2.running_mean	buffer	layer3.0.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
70	layer3.0.bn2.running_var	buffer	layer3.0.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
71	layer3.0.bn2.num_batches_tracked	buffer	layer3.0.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
72	layer3.0.downsample.0.weight	parameter	layer3.0.downsample.0	1×1 卷积，stride=2，padding=0，bias=False	128×4×4	256×2×2	—
73	layer3.0.downsample.1.weight	parameter	layer3.0.downsample.1	BatchNorm2d(256)	256×2×2	256×2×2	—
74	layer3.0.downsample.1.bias	parameter	layer3.0.downsample.1	BatchNorm2d(256)	256×2×2	256×2×2	—
75	layer3.0.downsample.1.running_mean	buffer	layer3.0.downsample.1	BatchNorm2d(256)	256×2×2	256×2×2	—
76	layer3.0.downsample.1.running_var	buffer	layer3.0.downsample.1	BatchNorm2d(256)	256×2×2	256×2×2	—
