seed	case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
43	expose_rank_01	1	0.01	400	1930.355239868164	4.8258880996704105	4	0.01	100	5.00178861618042	4.475250854492187	0	0.0	True
43	expose_rank_01	2	0.01	400	1495.5476341247559	3.7388690853118898	78	0.195	100	4.701616287231445	4.175078125	4	0.04	True
43	expose_rank_01	3	0.01	400	1169.7375717163086	2.9243439292907714	182	0.455	100	4.4910569190979	3.96451904296875	7	0.07	True
43	expose_rank_01	4	0.01	400	959.3298721313477	2.3983246803283693	263	0.6575	100	4.495799541473389	3.969261474609375	7	0.07	False
43	expose_rank_01	5	0.01	400	805.2078170776367	2.013019542694092	295	0.7375	100	4.364457130432129	3.837919006347656	8	0.08	True
43	expose_rank_01	6	0.01	400	682.2381286621094	1.7055953216552735	334	0.835	100	4.295717716217041	3.7691799926757814	10	0.1	True
43	expose_rank_01	7	0.01	400	573.0851287841797	1.4327128219604492	359	0.8975	100	4.209434986114502	3.6828973388671873	10	0.1	True
43	expose_rank_01	8	0.01	400	502.4553508758545	1.2561383771896362	361	0.9025	100	4.184882164001465	3.6583441162109374	12	0.12	True
43	expose_rank_01	9	0.01	400	467.6791000366211	1.1691977500915527	369	0.9225	100	4.240633010864258	3.7140948486328127	12	0.12	False
43	expose_rank_01	10	0.01	400	452.7337398529053	1.1318343496322631	371	0.9275	100	4.213472366333008	3.686934814453125	11	0.11	False
43	expose_rank_01	11	0.01	400	404.26495933532715	1.0106623983383178	379	0.9475	100	4.164950847625732	3.6384124755859375	11	0.11	True
43	expose_rank_01	12	0.01	400	385.4407539367676	0.963601884841919	384	0.96	100	4.051423072814941	3.52488525390625	14	0.14	True
43	expose_rank_01	13	0.01	400	356.0261459350586	0.8900653648376465	382	0.955	100	4.013793468475342	3.4872552490234376	15	0.15	True
43	expose_rank_01	14	0.01	400	346.88301849365234	0.8672075462341309	386	0.965	100	4.0066657066345215	3.480127258300781	14	0.14	True
43	expose_rank_01	15	0.01	400	336.2606086730957	0.8406515216827393	381	0.9525	100	4.0147600173950195	3.4882220458984374	15	0.15	False
43	expose_rank_01	16	0.01	400	329.0436325073242	0.8226090812683106	382	0.955	100	4.015977382659912	3.4894390869140626	12	0.12	False
43	expose_rank_01	17	0.01	400	321.16051292419434	0.8029012823104859	383	0.9575	100	4.009801864624023	3.48326416015625	12	0.12	False
43	expose_rank_01	18	0.01	400	323.02265548706055	0.8075566387176514	385	0.9625	100	3.9968485832214355	3.4703106689453125	16	0.16	True
43	expose_rank_01	19	0.01	400	316.6198310852051	0.7915495777130127	384	0.96	100	3.991770029067993	3.46523193359375	14	0.14	True
43	expose_rank_01	20	0.01	400	308.5723133087158	0.7714307832717896	385	0.9625	100	4.021918773651123	3.495380554199219	13	0.13	False
43	expose_rank_01	21	0.01	400	308.2705841064453	0.7706764602661133	385	0.9625	100	3.9669315814971924	3.4403936767578127	14	0.14	True
43	expose_rank_01	22	0.01	400	297.75940704345703	0.7443985176086426	388	0.97	100	3.93701434135437	3.41047607421875	15	0.15	True
43	expose_rank_01	23	0.01	400	296.3400640487671	0.7408501601219177	387	0.9675	100	3.843228578567505	3.3166909790039063	13	0.13	True
43	expose_rank_01	24	0.01	400	303.08887481689453	0.7577221870422364	383	0.9575	100	3.901132345199585	3.374594421386719	10	0.1	False
43	expose_rank_01	25	0.01	400	297.86534786224365	0.7446633696556091	379	0.9475	100	3.930185079574585	3.403647155761719	12	0.12	False
43	expose_rank_01	26	0.01	400	291.6454544067383	0.7291136360168458	392	0.98	100	3.8747808933258057	3.3482427978515625	14	0.14	False
43	expose_rank_01	27	0.01	400	287.71257495880127	0.7192814373970031	388	0.97	100	3.814976215362549	3.2884381103515623	13	0.13	True
43	expose_rank_01	28	0.01	400	293.85472869873047	0.7346368217468262	385	0.9625	100	3.81577205657959	3.2892340087890624	16	0.16	False
43	expose_rank_01	29	0.01	400	291.23234367370605	0.7280808591842651	387	0.9675	100	3.906017303466797	3.3794793701171875	14	0.14	False
