seed	case	label	best_epoch	protected_unit_count	protected_param_count	protected_param_ratio	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	matched_blackbox_accuracy	matched_blackbox_fidelity	matched_blackbox_posterior_kl	accuracy_minus_blackbox	fidelity_minus_blackbox	posterior_kl_minus_blackbox	all_metrics_at_or_beyond_blackbox
48	tensorshield_top10_bn_gamma	Top-10 + BN gamma	80	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1307	0.1411	3.0025756248474123	0.1332	0.1408	3.1477268814086914	-0.0025000000000000022	0.0002999999999999947	-0.14515125656127914	False
48	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	97	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1229	0.1294	3.129676791381836	0.1332	0.1408	3.1477268814086914	-0.010300000000000017	-0.011400000000000021	-0.018050090026855425	False
49	tensorshield_top10	TensorShield Top-10	99	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1684	0.1805	2.68296817779541	0.145	0.1559	2.937340302276611	0.023400000000000004	0.024599999999999983	-0.25437212448120095	False
49	tensorshield_top10_bn_gamma	Top-10 + BN gamma	82	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1255	0.136	3.024851732635498	0.145	0.1559	2.937340302276611	-0.01949999999999999	-0.0199	0.08751143035888687	True
49	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	74	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.114	0.122	3.1713851181030273	0.145	0.1559	2.937340302276611	-0.030999999999999986	-0.03390000000000001	0.23404481582641612	True
50	tensorshield_top10	TensorShield Top-10	99	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1766	0.1922	2.680696965408325	0.1425	0.1501	3.0149650390625	0.03410000000000002	0.0421	-0.334268073654175	False
50	tensorshield_top10_bn_gamma	Top-10 + BN gamma	100	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1391	0.1454	2.9626351593017577	0.1425	0.1501	3.0149650390625	-0.0033999999999999864	-0.00470000000000001	-0.052329879760742326	False
50	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	86	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1187	0.1254	3.1470319091796877	0.1425	0.1501	3.0149650390625	-0.023799999999999988	-0.0247	0.13206687011718765	True
51	tensorshield_top10	TensorShield Top-10	100	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1645	0.1771	2.6793120067596434	0.1483	0.1526	2.9577788276672363	0.01620000000000002	0.024499999999999994	-0.2784668209075929	False
51	tensorshield_top10_bn_gamma	Top-10 + BN gamma	70	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1291	0.1377	3.0081205932617188	0.1483	0.1526	2.9577788276672363	-0.019199999999999995	-0.014900000000000024	0.050341765594482446	True
51	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	49	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1134	0.123	3.1562599155426025	0.1483	0.1526	2.9577788276672363	-0.03489999999999999	-0.029600000000000015	0.19848108787536622	True
52	tensorshield_top10	TensorShield Top-10	93	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1737	0.1887	2.6686136196136476	0.1507	0.1564	2.9742168075561524	0.022999999999999993	0.032299999999999995	-0.30560318794250474	False
52	tensorshield_top10_bn_gamma	Top-10 + BN gamma	93	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1368	0.1429	2.996103253936768	0.1507	0.1564	2.9742168075561524	-0.013899999999999996	-0.013500000000000012	0.021886446380615432	True
52	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	98	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1256	0.1331	3.1153515823364257	0.1507	0.1564	2.9742168075561524	-0.02510000000000001	-0.023300000000000015	0.14113477478027336	True
