case	top_k	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
top_01	1	1	0.01	400	330.3551559448242	0.8258878898620605	324	0.81	100	0.6244525909423828	0.14219091415405274	91	0.91	True
top_01	1	2	0.01	400	286.0933027267456	0.715233256816864	357	0.8925	100	0.5968080163002014	0.11454627990722656	90	0.9	True
top_01	1	3	0.01	400	279.2194309234619	0.6980485773086548	362	0.905	100	0.6030197739601135	0.12075807571411133	89	0.89	False
top_01	1	4	0.01	400	269.9298267364502	0.6748245668411255	376	0.94	100	0.6161806583404541	0.13391897201538086	89	0.89	False
top_01	1	5	0.01	400	257.7201404571533	0.6443003511428833	376	0.94	100	0.6127095818519592	0.13044785499572753	90	0.9	False
top_01	1	6	0.01	400	256.316068649292	0.6407901716232299	381	0.9525	100	0.6118575930595398	0.12959585189819336	92	0.92	False
top_01	1	7	0.01	400	258.789249420166	0.646973123550415	373	0.9325	100	0.6113474369049072	0.12908571243286132	94	0.94	False
top_01	1	8	0.01	400	253.072491645813	0.6326812291145325	377	0.9425	100	0.6052240133285522	0.12296234130859375	93	0.93	False
top_01	1	9	0.01	400	249.33964824676514	0.6233491206169128	379	0.9475	100	0.6083588600158691	0.12609715461730958	93	0.93	False
top_01	1	10	0.01	400	248.90983486175537	0.6222745871543884	380	0.95	100	0.6107613444328308	0.12849963188171387	93	0.93	False
top_01	1	11	0.01	400	253.3562240600586	0.6333905601501465	380	0.95	100	0.6010451912879944	0.11878349304199219	95	0.95	False
top_01	1	12	0.01	400	250.49392318725586	0.6262348079681397	383	0.9575	100	0.598258376121521	0.11599664688110352	94	0.94	False
top_01	1	13	0.01	400	248.7890920639038	0.6219727301597595	378	0.945	100	0.5922484397888184	0.10998673439025879	96	0.96	True
top_01	1	14	0.01	400	252.17405319213867	0.6304351329803467	379	0.9475	100	0.5901179909706116	0.10785634994506836	94	0.94	True
top_01	1	15	0.01	400	248.09131145477295	0.6202282786369324	381	0.9525	100	0.5969947576522827	0.11473306655883789	93	0.93	False
top_01	1	16	0.01	400	245.5851230621338	0.6139628076553345	386	0.965	100	0.5972879528999329	0.11502623558044434	92	0.92	False
top_01	1	17	0.01	400	245.9562759399414	0.6148906898498535	370	0.925	100	0.6008824110031128	0.1186207389831543	93	0.93	False
top_01	1	18	0.01	400	246.09284210205078	0.615232105255127	381	0.9525	100	0.5994393229484558	0.11717761993408203	93	0.93	False
top_01	1	19	0.01	400	244.76692485809326	0.6119173121452331	375	0.9375	100	0.605015218257904	0.12275350570678711	94	0.94	False
top_01	1	20	0.01	400	243.75221157073975	0.6093805289268494	379	0.9475	100	0.6067990660667419	0.12453739166259765	93	0.93	False
top_01	1	21	0.01	400	243.9592685699463	0.6098981714248657	381	0.9525	100	0.5963220000267029	0.11406030654907226	93	0.93	False
top_01	1	22	0.01	400	243.69547843933105	0.6092386960983276	386	0.965	100	0.5936073660850525	0.11134566307067871	95	0.95	False
top_01	1	23	0.01	400	243.4679470062256	0.608669867515564	378	0.945	100	0.5938792824745178	0.11161765098571777	94	0.94	False
top_01	1	24	0.01	400	246.62770652770996	0.6165692663192749	374	0.935	100	0.5926495790481567	0.11038785934448242	95	0.95	False
