case	top_k	variant	origin	extra_state_names	protected_unit_count	protected_param_count	protected_param_ratio	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	accuracy_change_from_top_k	fidelity_change_from_top_k	posterior_kl_change_from_top_k
top_15_bn_gamma	15	bn_gamma	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	36	9861924	0.8783478027597897	5e5557228294ffec9fd3e99ef233d8954d6f28b8ab3cacc00489c795aafbd36b	0.1443	0.157	2.8502003505706788	-0.0174	-0.0189	0.12110877189636238
top_15_downsample_conv	15	downsample_conv	trained_lab06	layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	19	10029156	0.8932422452388764	1bebe5e38878e321d0535ed0765438a255a4ad870823cf2e30bdce1a67ca709a	0.149	0.1625	2.8307299011230467	-0.012700000000000017	-0.013399999999999995	0.10163832244873028
top_15_bn_gamma_downsample	15	bn_gamma_downsample	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	39	10033956	0.8936697550689306	c64461476abb19748e486e46a29173add90dcbe632fca30aec9c60702ba11216	0.1543	0.1614	2.8077437870025634	-0.007400000000000018	-0.014500000000000013	0.07865220832824704
top_15_stem_conv	15	stem_conv	trained_lab06	conv1.weight	17	9866532	0.8787582121966417	91169c8a0675f7dd3bb4e2ee61b39325e15c407e61b695becd8ed6b06e9f208e	0.1593	0.1723	2.756615835571289	-0.0024000000000000132	-0.003599999999999992	0.027524256896972688
top_15_all_extras	15	all_extras	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight,conv1.weight	40	10043364	0.8945076743358368	0661235a7515515af71bd01aaa67164eb968bd2f1b0f38600fcfeff26f4fcddd	0.1778	0.1867	2.635351693725586	0.016100000000000003	0.010800000000000004	-0.09373988494873053
top_16	16	top_k	reused_lab04_prefix		17	10446948	0.9304527008467901	91e405335f8c65ee49c1cf4d69a6d0fa4d6f97b96eee92ca2b1226b719ba34ef	0.1633	0.1783	2.7214516677856446	0.0	0.0	0.0
top_16_bn_gamma	16	bn_gamma	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	37	10451748	0.9308802106768442	80b218b9b6e3767da7d85be3a08a080a245460f6165ac86193c00cba70f6fe93	0.1397	0.1497	2.895403926849365	-0.02360000000000001	-0.028599999999999987	0.17395225906372058
top_16_downsample_conv	16	downsample_conv	trained_lab06	layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	20	10618980	0.945774653155931	10b14819002529b341d235c7200d7df297b928f21e8102d2be3b39e89eca7fbb	0.1519	0.1646	2.8094537162780764	-0.011399999999999993	-0.01369999999999999	0.08800204849243176
top_16_bn_gamma_downsample	16	bn_gamma_downsample	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	40	10623780	0.9462021629859851	409f3f52f5125c3e1dde3100860eab70a42af53a3c617cb5e4f5bd11f8e1d80a	0.1401	0.1505	2.88204427986145	-0.0232	-0.02779999999999999	0.16059261207580544
top_16_stem_conv	16	stem_conv	trained_lab06	conv1.weight	18	10456356	0.9312906201136962	03eb8200be9a340ad2be8292fca6508ae4a92e2d0add74dad46a13355dd912d4	0.1612	0.1736	2.750644249343872	-0.0020999999999999908	-0.004699999999999982	0.02919258155822746
top_16_all_extras	16	all_extras	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight,conv1.weight	41	10633188	0.9470400822528913	67fc1a3ed7d0c59800e547ab82e08597b282105c716fd23f67e35dcb60fd1feb	0.163	0.1698	2.7161651679992675	-0.0002999999999999947	-0.00849999999999998	-0.005286499786377075
top_17	17	top_k	reused_lab04_prefix		18	11036772	0.9829851087638446	3e58629468e7673a48eaaabb54f5aea2839c104c99bacd11a4013cc9d2178327	0.165	0.179	2.7236606174468996	0.0	0.0	0.0
top_17_bn_gamma	17	bn_gamma	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	38	11041572	0.9834126185938988	b989b14100e6583fb1a340f07b9088901e644b3009336167d13f39a0824716dd	0.1346	0.1435	2.92312378616333	-0.03040000000000001	-0.035500000000000004	0.19946316871643033
top_17_downsample_conv	17	downsample_conv	trained_lab06	layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	21	11208804	0.9983070610729855	0e195647340883ce89d7f34c5cf0c3ea1e604f9ecc659ff84271483a981180d5	0.1487	0.1608	2.8241649742126467	-0.01630000000000001	-0.018199999999999994	0.1005043567657471
top_17_bn_gamma_downsample	17	bn_gamma_downsample	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	41	11213604	0.9987345709030397	a94658e0b82c63cfd51fd539f371de6172b062b402fe4511af4ae378e840fb73	0.1336	0.1441	2.9278209159851074	-0.03140000000000001	-0.03489999999999999	0.20416029853820783
top_17_stem_conv	17	stem_conv	trained_lab06	conv1.weight	19	11046180	0.9838230280307508	328637be0ccfc604980d0eccab5d6e38318d338c612f98bbe5665b78a7340c60	0.1577	0.1715	2.752072171783447	-0.007300000000000001	-0.007499999999999979	0.028411554336547518
top_17_all_extras	17	all_extras	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight,conv1.weight	42	11223012	0.9995724901699459	fe7b984a6dbaae077d0ee4d5b3e038d7ad32ead44b314150195ed5620a54cf19	0.1552	0.1629	2.7705973930358887	-0.009800000000000003	-0.016100000000000003	0.04693677558898912
