case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
feature_bn_top5	1	0.01	400	1911.7145538330078	4.7792863845825195	17	0.0425	100	4.550639629364014	4.068378295898437	4	0.04	True
feature_bn_top5	2	0.01	400	1497.5954971313477	3.7439887428283694	96	0.24	100	4.130452632904053	3.648191223144531	11	0.11	True
feature_bn_top5	3	0.01	400	1174.586124420166	2.936465311050415	185	0.4625	100	3.8248138427734375	3.342552490234375	19	0.19	True
feature_bn_top5	4	0.01	400	947.1036758422852	2.367759189605713	257	0.6425	100	3.5518853664398193	3.0696234130859374	28	0.28	True
feature_bn_top5	5	0.01	400	763.3088874816895	1.9082722187042236	306	0.765	100	3.3116302490234375	2.8293682861328127	30	0.3	True
feature_bn_top5	6	0.01	400	640.5200119018555	1.6013000297546387	321	0.8025	100	3.1484148502349854	2.6661529541015625	32	0.32	True
feature_bn_top5	7	0.01	400	556.5321159362793	1.3913302898406983	343	0.8575	100	3.022095203399658	2.539833984375	36	0.36	True
feature_bn_top5	8	0.01	400	490.49253845214844	1.226231346130371	351	0.8775	100	2.9184892177581787	2.4362277221679687	36	0.36	True
feature_bn_top5	9	0.01	400	446.45805740356445	1.1161451435089111	359	0.8975	100	2.8319203853607178	2.3496588134765624	39	0.39	True
feature_bn_top5	10	0.01	400	407.58700942993164	1.018967523574829	365	0.9125	100	2.7298474311828613	2.2475856018066405	41	0.41	True
feature_bn_top5	11	0.01	400	385.7690734863281	0.9644226837158203	365	0.9125	100	2.6531457901000977	2.170884246826172	40	0.4	True
feature_bn_top5	12	0.01	400	368.234224319458	0.9205855607986451	372	0.93	100	2.604642391204834	2.1223805236816404	42	0.42	True
feature_bn_top5	13	0.01	400	348.16512298583984	0.8704128074645996	377	0.9425	100	2.533879041671753	2.0516172790527345	43	0.43	True
feature_bn_top5	14	0.01	400	337.51368141174316	0.8437842035293579	377	0.9425	100	2.4813356399536133	1.9990737915039063	44	0.44	True
feature_bn_top5	15	0.01	400	330.63138484954834	0.8265784621238709	380	0.95	100	2.435234546661377	1.9529727172851563	42	0.42	True
feature_bn_top5	16	0.01	400	314.62986946105957	0.7865746736526489	379	0.9475	100	2.423123359680176	1.9408616638183593	43	0.43	True
feature_bn_top5	17	0.01	400	309.14822006225586	0.7728705501556397	377	0.9425	100	2.3809120655059814	1.8986505126953126	47	0.47	True
feature_bn_top5	18	0.01	400	305.05210971832275	0.7626302742958069	383	0.9575	100	2.3603527545928955	1.8780911254882813	45	0.45	True
feature_bn_top5	19	0.01	400	296.2836971282959	0.7407092428207398	382	0.955	100	2.333468198776245	1.8512065124511718	47	0.47	True
feature_bn_top5	20	0.01	400	290.38084268569946	0.7259521067142487	382	0.955	100	2.3043265342712402	1.8220648193359374	46	0.46	True
feature_bn_top5	21	0.01	400	288.26384449005127	0.7206596112251282	382	0.955	100	2.285701274871826	1.8034396362304688	46	0.46	True
feature_bn_top5	22	0.01	400	282.73364639282227	0.7068341159820557	385	0.9625	100	2.2676706314086914	1.7854087829589844	44	0.44	True
feature_bn_top5	23	0.01	400	283.4353313446045	0.7085883283615112	385	0.9625	100	2.2443859577178955	1.7621241760253907	46	0.46	True
feature_bn_top5	24	0.01	400	278.2626647949219	0.6956566619873047	388	0.97	100	2.2365615367889404	1.7542997741699218	48	0.48	True
feature_bn_top5	25	0.01	400	278.718505859375	0.6967962646484375	384	0.96	100	2.236471176147461	1.7542095947265626	48	0.48	True
feature_bn_top5	26	0.01	400	276.5488452911377	0.6913721132278442	386	0.965	100	2.226463794708252	1.7442022705078124	46	0.46	True
feature_bn_top5	27	0.01	400	277.09282875061035	0.6927320718765259	382	0.955	100	2.2038192749023438	1.7215576171875	47	0.47	True
feature_bn_top5	28	0.01	400	271.7003765106201	0.6792509412765503	389	0.9725	100	2.1920979022979736	1.7098361206054689	46	0.46	True
feature_bn_top5	29	0.01	400	270.44568157196045	0.6761142039299011	383	0.9575	100	2.1858325004577637	1.7035708618164063	47	0.47	True
feature_bn_top5	30	0.01	400	270.11685371398926	0.6752921342849731	386	0.965	100	2.1652677059173584	1.6830059814453124	48	0.48	True
feature_bn_top5	31	0.01	400	272.53551387786865	0.6813387846946717	385	0.9625	100	2.160681962966919	1.67842041015625	47	0.47	True
feature_bn_top5	32	0.01	400	268.8012127876282	0.6720030319690704	388	0.97	100	2.1528546810150146	1.6705929565429687	46	0.46	True
feature_bn_top5	33	0.01	400	268.3038806915283	0.6707597017288208	387	0.9675	100	2.143960475921631	1.661698760986328	47	0.47	True
feature_bn_top5	34	0.01	400	265.4436674118042	0.6636091685295105	389	0.9725	100	2.1289517879486084	1.646689910888672	46	0.46	True
feature_bn_top5	35	0.01	400	267.33208084106445	0.6683302021026611	384	0.96	100	2.103837251663208	1.6215756225585938	48	0.48	True
feature_bn_top5	36	0.01	400	263.8316421508789	0.6595791053771972	387	0.9675	100	2.1156718730926514	1.633410186767578	47	0.47	False
feature_bn_top5	37	0.01	400	261.46009635925293	0.6536502408981323	384	0.96	100	2.0886294841766357	1.6063677978515625	49	0.49	True
feature_bn_top5	38	0.01	400	263.36035537719727	0.6584008884429932	390	0.975	100	2.0814316272735596	1.5991700744628907	48	0.48	True
feature_bn_top5	39	0.01	400	260.3267345428467	0.6508168363571167	385	0.9625	100	2.0823593139648438	1.6000975036621095	47	0.47	False
feature_bn_top5	40	0.01	400	259.2412233352661	0.6481030583381653	390	0.975	100	2.0774142742156982	1.595152587890625	48	0.48	True
