artifact_id	role	comparison_scope	defense	protected_layer_count	source_ratio	protected_scalar_count	protected_param_count	native_total_param_count	protected_param_ratio	native_private_param_ratio	baseline_total_param_count	baseline_normalized_param_ratio	head_mode	label_mode	attack_protocol	primary_epoch	selection_metric	source_path	run_id	surrogate_acc	fidelity	posterior_kl
deep_12	curve	ordinary_fixed_victim	deep	12			10987876	11227812	0.9786302086283597		11227812	0.9786302086283597	replace	soft	soft_query_validation_best_v1	91	validation_soft_cross_entropy	results/MS/resnet18/c100/deep_12/metrics.json	d0244d037d62	0.1437	0.1569	2.969841133880615
deep_14	curve	ordinary_fixed_victim	deep	14			11107300	11227812	0.989266653200107		11227812	0.989266653200107	replace	soft	soft_query_validation_best_v1	39	validation_soft_cross_entropy	results/MS/resnet18/c100/deep_14/metrics.json	0f5f5ca3e1c9	0.1184	0.13	3.158333885574341
deep_16	curve	ordinary_fixed_victim	deep	16			11181284	11227812	0.9958560047140084		11227812	0.9958560047140084	replace	soft	soft_query_validation_best_v1	58	validation_soft_cross_entropy	results/MS/resnet18/c100/deep_16/metrics.json	080a94543db7	0.1242	0.1313	3.1247199699401857
large_01	curve	ordinary_fixed_victim	large_weight		0.01	112229	116896	11227812	0.010411289394585516		11227812	0.010411289394585516	exposed	soft	soft_query_validation_best_v1	53	validation_soft_cross_entropy	results/MS/resnet18/c100/large_01/metrics.json	a646c14098ba	0.3637	0.4204	1.4869669956207276
large_02	curve	ordinary_fixed_victim	large_weight		0.1	1122291	1127072	11227812	0.10038215816224924		11227812	0.10038215816224924	mixed	soft	soft_query_validation_best_v1	87	validation_soft_cross_entropy	results/MS/resnet18/c100/large_02/metrics.json	0d59cfbb63e5	0.2902	0.3147	1.9404703727722168
large_03	curve	ordinary_fixed_victim	large_weight		0.3	3366873	3371664	11227812	0.30029572992493997		11227812	0.30029572992493997	mixed	soft	soft_query_validation_best_v1	96	validation_soft_cross_entropy	results/MS/resnet18/c100/large_03/metrics.json	7a1b65c65a72	0.2251	0.2419	2.47448032913208
large_04	curve	ordinary_fixed_victim	large_weight		0.5	5611456	5616247	11227812	0.5002085001066994		11227812	0.5002085001066994	mixed	soft	soft_query_validation_best_v1	93	validation_soft_cross_entropy	results/MS/resnet18/c100/large_04/metrics.json	07ed5c52661f	0.1888	0.1976	2.7166753158569334
large_05	curve	ordinary_fixed_victim	large_weight		0.7	7856038	7860829	11227812	0.7001211812239108		11227812	0.7001211812239108	mixed	soft	soft_query_validation_best_v1	93	validation_soft_cross_entropy	results/MS/resnet18/c100/large_05/metrics.json	e117d87c4d55	0.1663	0.1725	2.8999453468322756
large_06	curve	ordinary_fixed_victim	large_weight		0.8	8978329	8983121	11227812	0.8000776108470644		11227812	0.8000776108470644	mixed	soft	soft_query_validation_best_v1	64	validation_soft_cross_entropy	results/MS/resnet18/c100/large_06/metrics.json	a87e6d8bcddc	0.1545	0.1637	2.974200140762329
large_07	curve	ordinary_fixed_victim	large_weight		0.9	10100620	10105412	11227812	0.9000339514056701		11227812	0.9000339514056701	mixed	soft	soft_query_validation_best_v1	92	validation_soft_cross_entropy	results/MS/resnet18/c100/large_07/metrics.json	42ca9c996193	0.1446	0.1525	3.019584046936035
large_08	curve	ordinary_fixed_victim	large_weight		0.95	10661766	10666558	11227812	0.9500121662172469		11227812	0.9500121662172469	mixed	soft	soft_query_validation_best_v1	44	validation_soft_cross_entropy	results/MS/resnet18/c100/large_08/metrics.json	620feb555b36	0.1356	0.1424	3.0950487007141114
head_only	point	ordinary_fixed_victim	head_only				51300	11227812	0.004569011308703779		11227812	0.004569011308703779	replace	soft	soft_query_validation_best_v1	93	validation_soft_cross_entropy	results/MS/resnet18/c100/head_only/metrics.json	d2d4a36a3208	0.3985	0.4621	1.6165734035491943
tensorshield	point	ordinary_fixed_victim	tensorshield				1009764	11227812	0.08993417417391741		11227812	0.08993417417391741	replace	soft	soft_query_validation_best_v1	93	validation_soft_cross_entropy	results/MS/resnet18/c100/tensorshield/metrics.json	5057ffe55a3e	0.1728	0.1865	2.694492276763916
teeslice	standalone	standalone_reproduction	teeslice				703092	11871924	0.059223088018420605	0.059223088018420605	11227812	0.06262057113175747	replace	soft	soft_query_validation_best_v1	92	validation_soft_cross_entropy	results/MS/resnet18/c100/teeslice/metrics.json	32dcf930e893	0.158	0.1698	3.3427759033203124
no_protection	bound	ordinary_fixed_victim	no_protection				0	11227812	0.0		11227812	0.0	exposed	soft	soft_query_validation_best_v1	0	identity_epoch_0	results/MS/resnet18/c100/no_protection/metrics.json	1ca8dc75c3e2	0.6182	1.0	1.0590571463353626e-09
full_protection	bound	ordinary_fixed_victim	full_protection				11227812	11227812	1.0		11227812	1.0	replace	soft	soft_query_validation_best_v1	45	validation_soft_cross_entropy	results/MS/resnet18/c100/full_protection/metrics.json	b8edb9221e78	0.139	0.1463	3.0398168193817137
hard_blackbox	bound	ordinary_fixed_victim_output_ablation	hard_blackbox				11227812	11227812	1.0		11227812	1.0	replace	hard	hard_query_validation_best_v1	3	validation_hard_cross_entropy	results/MS/resnet18/c100/hard_blackbox/metrics.json	54941fd8b946	0.089	0.0969	3.387234304428101
