seed	case	utilization_strength	state_sha256	train_loss	train_match	validation_loss	validation_kl	validation_match
43	lambda_000	0.0	8c113ed1d375b56337903c2bd3c6ab70b9e6ea8773bc5566cd82c8bf6e4bc531	4.815611152648926	0.0175	4.796154499053955	4.269616394042969	0.01
43	lambda_025	0.25	1793d1fdd7358bcf6163868e0f2bf120868511d8ec41c6a2373cb01bf1346c29	4.625503768920899	0.0175	4.6530327796936035	4.126494750976563	0.0
43	lambda_050	0.5	aeeb3e662eed805a52ca4528d1bd4fb48b92ee49ec5c79cb8c0b9263b2ee2cba	4.629072856903076	0.01	4.646707057952881	4.120169067382813	0.02
43	lambda_075	0.75	f16416f325ee542912e3bcbcc369c616d5fb2831a1f1f321342f7d3cc5d35870	4.738945693969726	0.0025	4.767648220062256	4.241110229492188	0.01
43	lambda_100	1.0	84f9c67ed97b865374536dd6d0d0e7ffd1f7a507f6557d273dbab8a379c4f1be	13.314329299926758	0.0125	13.388312339782715	12.86177490234375	0.03
44	lambda_000	0.0	506294e94d938559edba3feeffdd4241de1222eca661a9dc3959ced478e0e1a3	4.721403732299804	0.0125	4.708346843719482	4.228311157226562	0.01
44	lambda_025	0.25	ae91bd11b3c806294f78e1f6de52b1d639ee16937205b7424861c77ede84a9d1	4.610386047363281	0.0125	4.597647190093994	4.117611083984375	0.01
44	lambda_050	0.5	b1bc8f2ab08c5c0194217b1c3cf7306cea65996653adf5871538f571e11d512f	4.620219745635986	0.015	4.639626502990723	4.159590454101562	0.0
44	lambda_075	0.75	c96d082b7c7ee2b94f6dc36fee03771e235dd23a99204b3554351eaffdedcf76	4.719408302307129	0.02	4.77876615524292	4.29873046875	0.0
44	lambda_100	1.0	72acdde2294d8e2f00f8b95929e8fa291819cc6c384bf8cdef7db6995631356f	11.039015045166016	0.0075	11.45592212677002	10.97588623046875	0.01
45	lambda_000	0.0	a4d11af0b8bab5e9528e6440965396d0286e78b72f454d12bf1a520ec4d027ef	4.794968318939209	0.005	4.7569661140441895	4.229452514648438	0.0
